danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.485,0.144,10,-12.824,1,0.0362,0.912,0.000114,0.0965,0.246,86.143,audio_features,4zxd4tiXPlWMqoJltbVTbE,spotify:track:4zxd4tiXPlWMqoJltbVTbE,https://api.spotify.com/v1/tracks/4zxd4tiXPlWMqoJltbVTbE,https://api.spotify.com/v1/audio-analysis/4zxd4tiXPlWMqoJltbVTbE,284560,4
0.429,0.304,8,-12.261,1,0.0436,0.742,0.000674,0.175,0.361,75.075,audio_features,0tUq1zaYNoV6ZiYRU2bjqf,spotify:track:0tUq1zaYNoV6ZiYRU2bjqf,https://api.spotify.com/v1/tracks/0tUq1zaYNoV6ZiYRU2bjqf,https://api.spotify.com/v1/audio-analysis/0tUq1zaYNoV6ZiYRU2bjqf,589200,4
0.553,0.546,9,-7.459,0,0.0341,0.442,0.000514,0.167,0.7,118.215,audio_features,1xicvSO4CJ2ymqYgpk7DFh,spotify:track:1xicvSO4CJ2ymqYgpk7DFh,https://api.spotify.com/v1/tracks/1xicvSO4CJ2ymqYgpk7DFh,https://api.spotify.com/v1/audio-analysis/1xicvSO4CJ2ymqYgpk7DFh,342067,4
0.495,0.182,10,-11.116,0,0.0467,0.79,0.000368,0.129,0.203,112.89,audio_features,5vb7At47uO0yPGfmYnAHuw,spotify:track:5vb7At47uO0yPGfmYnAHuw,https://api.spotify.com/v1/tracks/5vb7At47uO0yPGfmYnAHuw,https://api.spotify.com/v1/audio-analysis/5vb7At47uO0yPGfmYnAHuw,355333,4
0.655,0.441,5,-10.355,0,0.0547,0.698,4.51e-05,0.168,0.668,106.396,audio_features,66vrjgMvWOLyeKBuMGA0Cz,spotify:track:66vrjgMvWOLyeKBuMGA0Cz,https://api.spotify.com/v1/tracks/66vrjgMvWOLyeKBuMGA0Cz,https://api.spotify.com/v1/audio-analysis/66vrjgMvWOLyeKBuMGA0Cz,707253,4
0.371,0.0123,9,-35.068,0,0.0492,0.718,0.000311,0.113,0.0366,100.609,audio_features,4S0JzmCCQjaRjbPfIF6JV1,spotify:track:4S0JzmCCQjaRjbPfIF6JV1,https://api.spotify.com/v1/tracks/4S0JzmCCQjaRjbPfIF6JV1,https://api.spotify.com/v1/audio-analysis/4S0JzmCCQjaRjbPfIF6JV1,116907,4
0.433,0.529,7,-7.434,0,0.0644,0.435,0.00643,0.309,0.543,180.547,audio_features,7l5In0rLyHmqJhKlzZPtYo,spotify:track:7l5In0rLyHmqJhKlzZPtYo,https://api.spotify.com/v1/tracks/7l5In0rLyHmqJhKlzZPtYo,https://api.spotify.com/v1/audio-analysis/7l5In0rLyHmqJhKlzZPtYo,635067,3
0.48,0.422,9,-15.359,0,0.0408,0.518,0.00568,0.553,0.629,131.555,audio_features,1U7yJYYi8yTgRWkwoySwZz,spotify:track:1U7yJYYi8yTgRWkwoySwZz,https://api.spotify.com/v1/tracks/1U7yJYYi8yTgRWkwoySwZz,https://api.spotify.com/v1/audio-analysis/1U7yJYYi8yTgRWkwoySwZz,1049213,4
0.437,0.516,0,-10.29,1,0.0402,0.487,0.426,0.176,0.324,85.058,audio_features,3CctogqiXpI4BTBnDOq03Y,spotify:track:3CctogqiXpI4BTBnDOq03Y,https://api.spotify.com/v1/tracks/3CctogqiXpI4BTBnDOq03Y,https://api.spotify.com/v1/audio-analysis/3CctogqiXpI4BTBnDOq03Y,1204853,4
0.642,0.179,0,-13.597,0,0.0495,0.862,0.00748,0.0912,0.534,110.612,audio_features,4lcVPIWSWPB7F1emLGz1Tm,spotify:track:4lcVPIWSWPB7F1emLGz1Tm,https://api.spotify.com/v1/tracks/4lcVPIWSWPB7F1emLGz1Tm,https://api.spotify.com/v1/audio-analysis/4lcVPIWSWPB7F1emLGz1Tm,351827,4
