danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.124,0.0283,10,-27.249,0,0.0393,0.987,0.875,0.118,0.0449,65.053,audio_features,62tBlIFp1HhV2WpU8YUpIT,spotify:track:62tBlIFp1HhV2WpU8YUpIT,https://api.spotify.com/v1/tracks/62tBlIFp1HhV2WpU8YUpIT,https://api.spotify.com/v1/audio-analysis/62tBlIFp1HhV2WpU8YUpIT,201600,3
0.196,0.00687,7,-34.255,1,0.0442,0.992,0.917,0.106,0.053,72.125,audio_features,4KyJQKAFvEH4F52qSMuwIF,spotify:track:4KyJQKAFvEH4F52qSMuwIF,https://api.spotify.com/v1/tracks/4KyJQKAFvEH4F52qSMuwIF,https://api.spotify.com/v1/audio-analysis/4KyJQKAFvEH4F52qSMuwIF,138427,4
0.156,0.138,0,-19.958,1,0.0362,0.984,0.953,0.0983,0.0386,68.062,audio_features,7DGFxOJp8gfV3Y1JqOJ1A4,spotify:track:7DGFxOJp8gfV3Y1JqOJ1A4,https://api.spotify.com/v1/tracks/7DGFxOJp8gfV3Y1JqOJ1A4,https://api.spotify.com/v1/audio-analysis/7DGFxOJp8gfV3Y1JqOJ1A4,151512,3
0.304,0.0962,8,-25.51,1,0.0667,0.932,0.987,0.0767,0.0481,68.205,audio_features,1sGpjDlrzobaQW6nUPmVIR,spotify:track:1sGpjDlrzobaQW6nUPmVIR,https://api.spotify.com/v1/tracks/1sGpjDlrzobaQW6nUPmVIR,https://api.spotify.com/v1/audio-analysis/1sGpjDlrzobaQW6nUPmVIR,261493,3
0.179,0.171,4,-19.427,1,0.0355,0.793,0.927,0.0907,0.117,111.128,audio_features,1f5neDqYLk7K0ocvlbbbWF,spotify:track:1f5neDqYLk7K0ocvlbbbWF,https://api.spotify.com/v1/tracks/1f5neDqYLk7K0ocvlbbbWF,https://api.spotify.com/v1/audio-analysis/1f5neDqYLk7K0ocvlbbbWF,135636,4
0,0.00834,1,-23.201,1,0,0.993,0.936,0.195,0,0,audio_features,5oXlgW24ELS0P5YkAQcrko,spotify:track:5oXlgW24ELS0P5YkAQcrko,https://api.spotify.com/v1/tracks/5oXlgW24ELS0P5YkAQcrko,https://api.spotify.com/v1/audio-analysis/5oXlgW24ELS0P5YkAQcrko,100947,0
0.553,0.0122,10,-17.783,1,0.17,0.995,0.948,0.0806,0.497,70.922,audio_features,48qN5oJgCv1eDiSUeCBBCI,spotify:track:48qN5oJgCv1eDiSUeCBBCI,https://api.spotify.com/v1/tracks/48qN5oJgCv1eDiSUeCBBCI,https://api.spotify.com/v1/audio-analysis/48qN5oJgCv1eDiSUeCBBCI,131808,4
0.167,0.071,6,-27.108,0,0.041,0.911,0.855,0.107,0.0613,143.315,audio_features,2Bc4llhjJBW77I552RgA3L,spotify:track:2Bc4llhjJBW77I552RgA3L,https://api.spotify.com/v1/tracks/2Bc4llhjJBW77I552RgA3L,https://api.spotify.com/v1/audio-analysis/2Bc4llhjJBW77I552RgA3L,464293,5
0.281,0.229,9,-16.304,0,0.0314,0.968,0.965,0.0675,0.0932,78.152,audio_features,3ui2bYL0WUrip1KtyDFH6O,spotify:track:3ui2bYL0WUrip1KtyDFH6O,https://api.spotify.com/v1/tracks/3ui2bYL0WUrip1KtyDFH6O,https://api.spotify.com/v1/audio-analysis/3ui2bYL0WUrip1KtyDFH6O,144299,1
0.226,0.151,7,-15.511,1,0.0354,0.963,0.92,0.1,0.0469,139.982,audio_features,0yUoE3PQOdwGthhyRp9evR,spotify:track:0yUoE3PQOdwGthhyRp9evR,https://api.spotify.com/v1/tracks/0yUoE3PQOdwGthhyRp9evR,https://api.spotify.com/v1/audio-analysis/0yUoE3PQOdwGthhyRp9evR,171471,3
0.251,0.14,4,-19.609,0,0.0339,0.973,0.98,0.107,0.121,89.872,audio_features,733fxItPfz9T3xTeiP9gle,spotify:track:733fxItPfz9T3xTeiP9gle,https://api.spotify.com/v1/tracks/733fxItPfz9T3xTeiP9gle,https://api.spotify.com/v1/audio-analysis/733fxItPfz9T3xTeiP9gle,120604,4
0.402,0.046,5,-22.779,1,0.033,0.979,0.513,0.0771,0.0967,104.425,audio_features,1ijrMIqQvZNsnoqGukPzFD,spotify:track:1ijrMIqQvZNsnoqGukPzFD,https://api.spotify.com/v1/tracks/1ijrMIqQvZNsnoqGukPzFD,https://api.spotify.com/v1/audio-analysis/1ijrMIqQvZNsnoqGukPzFD,159667,4
0.335,0.409,1,-13.679,0,0.0434,0.966,0.976,0.143,0.199,116.066,audio_features,2JJz0U0hlpYZC3jD0nzjYi,spotify:track:2JJz0U0hlpYZC3jD0nzjYi,https://api.spotify.com/v1/tracks/2JJz0U0hlpYZC3jD0nzjYi,https://api.spotify.com/v1/audio-analysis/2JJz0U0hlpYZC3jD0nzjYi,149632,4
0.125,0.0666,7,-23.064,1,0.0385,0.988,0.97,0.0833,0.0426,96.419,audio_features,5NNK5MJ3T4U17LvhibKNPh,spotify:track:5NNK5MJ3T4U17LvhibKNPh,https://api.spotify.com/v1/tracks/5NNK5MJ3T4U17LvhibKNPh,https://api.spotify.com/v1/audio-analysis/5NNK5MJ3T4U17LvhibKNPh,157625,5
0.388,0.0115,10,-23.758,0,0.0479,0.988,0.838,0.113,0.0769,89.636,audio_features,6XDyO1ycRcaRfqLgXEDcQZ,spotify:track:6XDyO1ycRcaRfqLgXEDcQZ,https://api.spotify.com/v1/tracks/6XDyO1ycRcaRfqLgXEDcQZ,https://api.spotify.com/v1/audio-analysis/6XDyO1ycRcaRfqLgXEDcQZ,192850,4
0.31,0.269,5,-16.371,0,0.0398,0.985,0.906,0.131,0.243,79.963,audio_features,5nzGqdxOAopeh7KLI9Sy6m,spotify:track:5nzGqdxOAopeh7KLI9Sy6m,https://api.spotify.com/v1/tracks/5nzGqdxOAopeh7KLI9Sy6m,https://api.spotify.com/v1/audio-analysis/5nzGqdxOAopeh7KLI9Sy6m,191445,4
0.509,0.0325,0,-22.982,1,0.0315,0.989,0.913,0.0926,0.177,87.127,audio_features,6tIgg4Lw3DImnjDVOFWugE,spotify:track:6tIgg4Lw3DImnjDVOFWugE,https://api.spotify.com/v1/tracks/6tIgg4Lw3DImnjDVOFWugE,https://api.spotify.com/v1/audio-analysis/6tIgg4Lw3DImnjDVOFWugE,118750,4
