danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.242,0.00898,7,-31.811,0,0.0424,0.994,0.909,0.0814,0.0549,68.88,audio_features,43bSKCMWHIuBsUVmQcDX1J,spotify:track:43bSKCMWHIuBsUVmQcDX1J,https://api.spotify.com/v1/tracks/43bSKCMWHIuBsUVmQcDX1J,https://api.spotify.com/v1/audio-analysis/43bSKCMWHIuBsUVmQcDX1J,257000,5
0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,audio_features,2YarjDYjBJuH63dUIh9OWv,spotify:track:2YarjDYjBJuH63dUIh9OWv,https://api.spotify.com/v1/tracks/2YarjDYjBJuH63dUIh9OWv,https://api.spotify.com/v1/audio-analysis/2YarjDYjBJuH63dUIh9OWv,433800,4
0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,audio_features,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B,152280,4
0.398,0.00293,1,-29.481,1,0.0666,0.995,0.922,0.0897,0.0804,130.464,audio_features,4q8f3Ls32PcXE8Ks4V1ufx,spotify:track:4q8f3Ls32PcXE8Ks4V1ufx,https://api.spotify.com/v1/tracks/4q8f3Ls32PcXE8Ks4V1ufx,https://api.spotify.com/v1/audio-analysis/4q8f3Ls32PcXE8Ks4V1ufx,348333,4
0.364,0.189,2,-22.125,0,0.0425,0.964,0.82,0.0769,0.283,111.408,audio_features,6lnttZF0hDaVyVZBEgpJ3I,spotify:track:6lnttZF0hDaVyVZBEgpJ3I,https://api.spotify.com/v1/tracks/6lnttZF0hDaVyVZBEgpJ3I,https://api.spotify.com/v1/audio-analysis/6lnttZF0hDaVyVZBEgpJ3I,822307,4
0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,audio_features,1M2RkUUJ9wXRsW3jN1MCHS,spotify:track:1M2RkUUJ9wXRsW3jN1MCHS,https://api.spotify.com/v1/tracks/1M2RkUUJ9wXRsW3jN1MCHS,https://api.spotify.com/v1/audio-analysis/1M2RkUUJ9wXRsW3jN1MCHS,497773,3
0.332,0.218,1,-15.772,1,0.0392,0.527,0.238,0.223,0.538,124.63,audio_features,12wHScGeETTpp7Rjek9MCJ,spotify:track:12wHScGeETTpp7Rjek9MCJ,https://api.spotify.com/v1/tracks/12wHScGeETTpp7Rjek9MCJ,https://api.spotify.com/v1/audio-analysis/12wHScGeETTpp7Rjek9MCJ,316267,4
0.235,0.166,5,-19.632,1,0.0347,0.992,0.87,0.101,0.0356,101.182,audio_features,5bi8ryL6gy6a1BRXOf43y9,spotify:track:5bi8ryL6gy6a1BRXOf43y9,https://api.spotify.com/v1/tracks/5bi8ryL6gy6a1BRXOf43y9,https://api.spotify.com/v1/audio-analysis/5bi8ryL6gy6a1BRXOf43y9,295560,4
0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,audio_features,2kAgCRZPG3YQR2VMqRvLmb,spotify:track:2kAgCRZPG3YQR2VMqRvLmb,https://api.spotify.com/v1/tracks/2kAgCRZPG3YQR2VMqRvLmb,https://api.spotify.com/v1/audio-analysis/2kAgCRZPG3YQR2VMqRvLmb,935360,4
0.333,0.465,7,-18.452,1,0.0462,0.837,0.797,0.291,0.641,169.952,audio_features,3qwVqJyXKNiPZLz9VBMd6r,spotify:track:3qwVqJyXKNiPZLz9VBMd6r,https://api.spotify.com/v1/tracks/3qwVqJyXKNiPZLz9VBMd6r,https://api.spotify.com/v1/audio-analysis/3qwVqJyXKNiPZLz9VBMd6r,153573,3
0.0821,0.128,4,-16.584,1,0.0346,0.872,0.889,0.107,0.0427,78.015,audio_features,2XCE5GUZvDvoHc5Llo0iek,spotify:track:2XCE5GUZvDvoHc5Llo0iek,https://api.spotify.com/v1/tracks/2XCE5GUZvDvoHc5Llo0iek,https://api.spotify.com/v1/audio-analysis/2XCE5GUZvDvoHc5Llo0iek,853347,4
0.453,0.00715,5,-33.859,1,0.0709,0.995,0.931,0.0647,0.257,135.407,audio_features,50VVlZROGaROAwNqAMxA6B,spotify:track:50VVlZROGaROAwNqAMxA6B,https://api.spotify.com/v1/tracks/50VVlZROGaROAwNqAMxA6B,https://api.spotify.com/v1/audio-analysis/50VVlZROGaROAwNqAMxA6B,186200,3
0.278,0.151,4,-19.607,0,0.042,0.917,0.122,0.273,0.167,99.212,audio_features,2mPd1593fOWtbSGqA0VVcS,spotify:track:2mPd1593fOWtbSGqA0VVcS,https://api.spotify.com/v1/tracks/2mPd1593fOWtbSGqA0VVcS,https://api.spotify.com/v1/audio-analysis/2mPd1593fOWtbSGqA0VVcS,730667,4
0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,audio_features,3MRQn2RYo2VLYMoStnLRxu,spotify:track:3MRQn2RYo2VLYMoStnLRxu,https://api.spotify.com/v1/tracks/3MRQn2RYo2VLYMoStnLRxu,https://api.spotify.com/v1/audio-analysis/3MRQn2RYo2VLYMoStnLRxu,346587,3
0.134,0.0861,2,-22.517,1,0.0441,0.988,0.204,0.0761,0.0355,153.035,audio_features,4JGyMnPJjO9ArabchJtwGB,spotify:track:4JGyMnPJjO9ArabchJtwGB,https://api.spotify.com/v1/tracks/4JGyMnPJjO9ArabchJtwGB,https://api.spotify.com/v1/audio-analysis/4JGyMnPJjO9ArabchJtwGB,326200,4
0.265,0.169,10,-16.814,0,0.036,0.976,0.871,0.0903,0.0399,81.013,audio_features,7dMKKLuDqwGxPN29dmale9,spotify:track:7dMKKLuDqwGxPN29dmale9,https://api.spotify.com/v1/tracks/7dMKKLuDqwGxPN29dmale9,https://api.spotify.com/v1/audio-analysis/7dMKKLuDqwGxPN29dmale9,1240600,4
0.183,0.0303,10,-27.999,1,0.0448,0.964,0.925,0.108,0.0422,69.003,audio_features,1jkymffjn9YGUfZxj6zx39,spotify:track:1jkymffjn9YGUfZxj6zx39,https://api.spotify.com/v1/tracks/1jkymffjn9YGUfZxj6zx39,https://api.spotify.com/v1/audio-analysis/1jkymffjn9YGUfZxj6zx39,183293,4
0.239,0.132,4,-16.569,0,0.0358,0.92,0.851,0.0987,0.11,140.618,audio_features,1ovOMQRYp2O2IbgtuhKbrA,spotify:track:1ovOMQRYp2O2IbgtuhKbrA,https://api.spotify.com/v1/tracks/1ovOMQRYp2O2IbgtuhKbrA,https://api.spotify.com/v1/audio-analysis/1ovOMQRYp2O2IbgtuhKbrA,711000,4
0.233,0.168,10,-21.091,1,0.0341,0.976,0.9,0.105,0.0635,69.013,audio_features,5uVTvL2iGw42HhdM2R8Nhk,spotify:track:5uVTvL2iGw42HhdM2R8Nhk,https://api.spotify.com/v1/tracks/5uVTvL2iGw42HhdM2R8Nhk,https://api.spotify.com/v1/audio-analysis/5uVTvL2iGw42HhdM2R8Nhk,902880,4
0.513,0.147,3,-16.76,1,0.0845,0.979,0.907,0.1,0.126,139.409,audio_features,1CqzAHY4fRx2ErgIcexbfu,spotify:track:1CqzAHY4fRx2ErgIcexbfu,https://api.spotify.com/v1/tracks/1CqzAHY4fRx2ErgIcexbfu,https://api.spotify.com/v1/audio-analysis/1CqzAHY4fRx2ErgIcexbfu,334973,4
0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,audio_features,5pjDwtMPly0cNMbuGXhUOI,spotify:track:5pjDwtMPly0cNMbuGXhUOI,https://api.spotify.com/v1/tracks/5pjDwtMPly0cNMbuGXhUOI,https://api.spotify.com/v1/audio-analysis/5pjDwtMPly0cNMbuGXhUOI,478573,4
0.425,0.00472,7,-37.89,1,0.0479,0.996,0.953,0.0985,0.484,81.93,audio_features,49UFcP1xlcuxwkrCgDhxos,spotify:track:49UFcP1xlcuxwkrCgDhxos,https://api.spotify.com/v1/tracks/49UFcP1xlcuxwkrCgDhxos,https://api.spotify.com/v1/audio-analysis/49UFcP1xlcuxwkrCgDhxos,190560,3
0.074,0.0114,5,-32.866,1,0.0438,0.839,0.883,0.122,0.0339,79.556,audio_features,1FDMJ0sheMse5ELss1p7s0,spotify:track:1FDMJ0sheMse5ELss1p7s0,https://api.spotify.com/v1/tracks/1FDMJ0sheMse5ELss1p7s0,https://api.spotify.com/v1/audio-analysis/1FDMJ0sheMse5ELss1p7s0,659000,1
0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,audio_features,0mcgXc8P5GyGtP9aY7zir6,spotify:track:0mcgXc8P5GyGtP9aY7zir6,https://api.spotify.com/v1/tracks/0mcgXc8P5GyGtP9aY7zir6,https://api.spotify.com/v1/audio-analysis/0mcgXc8P5GyGtP9aY7zir6,273562,4
