danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.27,0.463,4,-13.774,1,0.288,0.911,0.013,0.0835,0.0557,76.221,audio_features,4ld2TeVRlaYNHWzi52dWsZ,spotify:track:4ld2TeVRlaYNHWzi52dWsZ,https://api.spotify.com/v1/tracks/4ld2TeVRlaYNHWzi52dWsZ,https://api.spotify.com/v1/audio-analysis/4ld2TeVRlaYNHWzi52dWsZ,251000,3
0.418,0.273,0,-8.887,1,0.0305,0.938,4.06e-05,0.0897,0.0585,110.623,audio_features,1odRNxEeolTEjFSDF6GY3s,spotify:track:1odRNxEeolTEjFSDF6GY3s,https://api.spotify.com/v1/tracks/1odRNxEeolTEjFSDF6GY3s,https://api.spotify.com/v1/audio-analysis/1odRNxEeolTEjFSDF6GY3s,273467,3
0.359,0.286,9,-10.172,0,0.0338,0.908,0.0036,0.109,0.229,152.205,audio_features,1TVd8FHpeg1Afa92kaO0kR,spotify:track:1TVd8FHpeg1Afa92kaO0kR,https://api.spotify.com/v1/tracks/1TVd8FHpeg1Afa92kaO0kR,https://api.spotify.com/v1/audio-analysis/1TVd8FHpeg1Afa92kaO0kR,152333,4
0.421,0.359,5,-10.093,0,0.032,0.984,0.00201,0.109,0.0732,134.372,audio_features,50D5TdxfGvHOfNQnnKXanR,spotify:track:50D5TdxfGvHOfNQnnKXanR,https://api.spotify.com/v1/tracks/50D5TdxfGvHOfNQnnKXanR,https://api.spotify.com/v1/audio-analysis/50D5TdxfGvHOfNQnnKXanR,277879,4
0.526,0.318,1,-13.514,1,0.028,0.875,0.347,0.103,0.162,79.981,audio_features,4fpAxDV1fhSHMotzyKkFhz,spotify:track:4fpAxDV1fhSHMotzyKkFhz,https://api.spotify.com/v1/tracks/4fpAxDV1fhSHMotzyKkFhz,https://api.spotify.com/v1/audio-analysis/4fpAxDV1fhSHMotzyKkFhz,268933,3
0.274,0.403,8,-10.606,1,0.0369,0.789,0.00887,0.127,0.174,147.665,audio_features,4H2vJY0HOt6Vu0C2rHxpZ7,spotify:track:4H2vJY0HOt6Vu0C2rHxpZ7,https://api.spotify.com/v1/tracks/4H2vJY0HOt6Vu0C2rHxpZ7,https://api.spotify.com/v1/audio-analysis/4H2vJY0HOt6Vu0C2rHxpZ7,311853,4
0.423,0.278,8,-13.018,0,0.0358,0.711,0.603,0.111,0.289,180.074,audio_features,1vlt1z8Ez6SueIfCE2pm9A,spotify:track:1vlt1z8Ez6SueIfCE2pm9A,https://api.spotify.com/v1/tracks/1vlt1z8Ez6SueIfCE2pm9A,https://api.spotify.com/v1/audio-analysis/1vlt1z8Ez6SueIfCE2pm9A,290890,1
0.575,0.508,11,-12.277,0,0.0442,0.5,0.0379,0.067,0.148,117.04,audio_features,4sLcQNXZ8ay3mU3D8PTSw4,spotify:track:4sLcQNXZ8ay3mU3D8PTSw4,https://api.spotify.com/v1/tracks/4sLcQNXZ8ay3mU3D8PTSw4,https://api.spotify.com/v1/audio-analysis/4sLcQNXZ8ay3mU3D8PTSw4,206963,4
0.491,0.238,5,-9.054,0,0.0314,0.833,0.00415,0.15,0.069,125.995,audio_features,4gVZhkcsZcwQ4mU1gEeXEO,spotify:track:4gVZhkcsZcwQ4mU1gEeXEO,https://api.spotify.com/v1/tracks/4gVZhkcsZcwQ4mU1gEeXEO,https://api.spotify.com/v1/audio-analysis/4gVZhkcsZcwQ4mU1gEeXEO,268854,4
0.426,0.662,11,-6.158,1,0.0319,0.211,0.00652,0.176,0.359,78.247,audio_features,1vG6jMgSoqT3zG9tuDrL2E,spotify:track:1vG6jMgSoqT3zG9tuDrL2E,https://api.spotify.com/v1/tracks/1vG6jMgSoqT3zG9tuDrL2E,https://api.spotify.com/v1/audio-analysis/1vG6jMgSoqT3zG9tuDrL2E,222293,4
