danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.663,0.936,4,-0.584,0,0.167,0.0987,0.0005,0.555,0.347,126.064,audio_features,4M7i3hUyskNxbZL88pB1Hn,spotify:track:4M7i3hUyskNxbZL88pB1Hn,https://api.spotify.com/v1/tracks/4M7i3hUyskNxbZL88pB1Hn,https://api.spotify.com/v1/audio-analysis/4M7i3hUyskNxbZL88pB1Hn,171429,4
0.78,0.938,0,-4.034,1,0.0791,0.071,0.144,0.154,0.407,127.0,audio_features,7HsBPZz9DNjSoknVFsOwAh,spotify:track:7HsBPZz9DNjSoknVFsOwAh,https://api.spotify.com/v1/tracks/7HsBPZz9DNjSoknVFsOwAh,https://api.spotify.com/v1/audio-analysis/7HsBPZz9DNjSoknVFsOwAh,221236,4
0.693,0.978,4,-5.053,1,0.194,0.0171,0.837,0.0877,0.183,130.005,audio_features,4JGChKJ765lJ9rxni4pzi6,spotify:track:4JGChKJ765lJ9rxni4pzi6,https://api.spotify.com/v1/tracks/4JGChKJ765lJ9rxni4pzi6,https://api.spotify.com/v1/audio-analysis/4JGChKJ765lJ9rxni4pzi6,243707,4
0.842,0.737,7,-7.251,1,0.427,0.0213,0.915,0.0948,0.418,127.103,audio_features,1AWtJEiT9h2ZmBDzXOfFpb,spotify:track:1AWtJEiT9h2ZmBDzXOfFpb,https://api.spotify.com/v1/tracks/1AWtJEiT9h2ZmBDzXOfFpb,https://api.spotify.com/v1/audio-analysis/1AWtJEiT9h2ZmBDzXOfFpb,213543,4
0.687,0.984,1,-4.707,1,0.0732,0.00659,0.687,0.0718,0.427,127.068,audio_features,32QCu5LlSmTKktXgyMWpEu,spotify:track:32QCu5LlSmTKktXgyMWpEu,https://api.spotify.com/v1/tracks/32QCu5LlSmTKktXgyMWpEu,https://api.spotify.com/v1/audio-analysis/32QCu5LlSmTKktXgyMWpEu,191102,4
0.796,0.949,5,-6.005,0,0.084,0.00364,0.758,0.019,0.71,128.046,audio_features,2zK6szgk4trNwYomeKhpjr,spotify:track:2zK6szgk4trNwYomeKhpjr,https://api.spotify.com/v1/tracks/2zK6szgk4trNwYomeKhpjr,https://api.spotify.com/v1/audio-analysis/2zK6szgk4trNwYomeKhpjr,168047,4
0.685,0.97,7,-3.849,1,0.084,0.0223,0.0301,0.0901,0.714,125.989,audio_features,69cvWeyze4FENegGTwIbKa,spotify:track:69cvWeyze4FENegGTwIbKa,https://api.spotify.com/v1/tracks/69cvWeyze4FENegGTwIbKa,https://api.spotify.com/v1/audio-analysis/69cvWeyze4FENegGTwIbKa,179250,4
0.744,0.88,5,-3.459,0,0.056,0.00754,0.62,0.352,0.489,126.016,audio_features,0HjCa0bfz8ZiPl6I3S3GLx,spotify:track:0HjCa0bfz8ZiPl6I3S3GLx,https://api.spotify.com/v1/tracks/0HjCa0bfz8ZiPl6I3S3GLx,https://api.spotify.com/v1/audio-analysis/0HjCa0bfz8ZiPl6I3S3GLx,199048,4
0.624,0.718,2,-4.495,0,0.0458,0.000363,0.00519,0.328,0.145,129.031,audio_features,4XXdQctUlL1FOmHBbdLkIp,spotify:track:4XXdQctUlL1FOmHBbdLkIp,https://api.spotify.com/v1/tracks/4XXdQctUlL1FOmHBbdLkIp,https://api.spotify.com/v1/audio-analysis/4XXdQctUlL1FOmHBbdLkIp,337800,5
0.649,0.908,11,-3.565,0,0.0687,0.00389,0.758,0.0729,0.251,124.044,audio_features,36oYLViTUTJF3NMiImo1tN,spotify:track:36oYLViTUTJF3NMiImo1tN,https://api.spotify.com/v1/tracks/36oYLViTUTJF3NMiImo1tN,https://api.spotify.com/v1/audio-analysis/36oYLViTUTJF3NMiImo1tN,205161,4
0.622,0.869,7,-4.477,1,0.0321,0.000323,0.134,0.149,0.433,127.982,audio_features,5RIpcFzWNwx41PEu1ZDoUz,spotify:track:5RIpcFzWNwx41PEu1ZDoUz,https://api.spotify.com/v1/tracks/5RIpcFzWNwx41PEu1ZDoUz,https://api.spotify.com/v1/audio-analysis/5RIpcFzWNwx41PEu1ZDoUz,232554,4
0.842,0.907,9,-3.272,1,0.363,0.00145,0.273,0.234,0.467,130.034,audio_features,03fCehAWKXt9xWepEOTfbe,spotify:track:03fCehAWKXt9xWepEOTfbe,https://api.spotify.com/v1/tracks/03fCehAWKXt9xWepEOTfbe,https://api.spotify.com/v1/audio-analysis/03fCehAWKXt9xWepEOTfbe,212317,4
0.668,0.848,7,-5.712,1,0.0468,0.074,0.837,0.285,0.798,128.026,audio_features,5RQbBe0U6qP1Ch5lPTxyWp,spotify:track:5RQbBe0U6qP1Ch5lPTxyWp,https://api.spotify.com/v1/tracks/5RQbBe0U6qP1Ch5lPTxyWp,https://api.spotify.com/v1/audio-analysis/5RQbBe0U6qP1Ch5lPTxyWp,165941,4
0.689,0.949,2,-3.188,1,0.189,0.000164,0.872,0.121,0.237,127.954,audio_features,4KAnP9i0d87ibChqMKRZkI,spotify:track:4KAnP9i0d87ibChqMKRZkI,https://api.spotify.com/v1/tracks/4KAnP9i0d87ibChqMKRZkI,https://api.spotify.com/v1/audio-analysis/4KAnP9i0d87ibChqMKRZkI,210024,4
0.759,0.977,4,-3.363,1,0.0517,0.00561,0.75,0.603,0.85,128.086,audio_features,76JKgaAFdR0XaZeu5cHqmu,spotify:track:76JKgaAFdR0XaZeu5cHqmu,https://api.spotify.com/v1/tracks/76JKgaAFdR0XaZeu5cHqmu,https://api.spotify.com/v1/audio-analysis/76JKgaAFdR0XaZeu5cHqmu,146719,4
0.755,0.736,7,-2.246,1,0.0846,0.0774,0.000142,0.224,0.41,127.026,audio_features,7bEqTU1fUlZ1ngEM4XLUDC,spotify:track:7bEqTU1fUlZ1ngEM4XLUDC,https://api.spotify.com/v1/tracks/7bEqTU1fUlZ1ngEM4XLUDC,https://api.spotify.com/v1/audio-analysis/7bEqTU1fUlZ1ngEM4XLUDC,302960,4
0.764,0.808,7,-4.865,1,0.108,0.000843,0.693,0.0503,0.678,126.061,audio_features,6qXbFsVerfgaU1VaXMA8Vk,spotify:track:6qXbFsVerfgaU1VaXMA8Vk,https://api.spotify.com/v1/tracks/6qXbFsVerfgaU1VaXMA8Vk,https://api.spotify.com/v1/audio-analysis/6qXbFsVerfgaU1VaXMA8Vk,205714,4
0.717,0.902,1,-4.395,1,0.0457,0.00366,0.113,0.0476,0.31,128.028,audio_features,4Z070KJJW3tYdyMF8Qvh0P,spotify:track:4Z070KJJW3tYdyMF8Qvh0P,https://api.spotify.com/v1/tracks/4Z070KJJW3tYdyMF8Qvh0P,https://api.spotify.com/v1/audio-analysis/4Z070KJJW3tYdyMF8Qvh0P,218227,4
0.656,0.978,8,-2.333,1,0.0659,0.0976,3.02e-05,0.131,0.655,149.956,audio_features,5YU0qZXnzIkSHFa0cpcUzO,spotify:track:5YU0qZXnzIkSHFa0cpcUzO,https://api.spotify.com/v1/tracks/5YU0qZXnzIkSHFa0cpcUzO,https://api.spotify.com/v1/audio-analysis/5YU0qZXnzIkSHFa0cpcUzO,201617,4
