danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.657,0.817,0,-4.415,1,0.0554,0.262,0.00674,0.248,0.651,107.995,audio_features,6V0A3jkb9ntudO0kmcJ1xd,spotify:track:6V0A3jkb9ntudO0kmcJ1xd,https://api.spotify.com/v1/tracks/6V0A3jkb9ntudO0kmcJ1xd,https://api.spotify.com/v1/audio-analysis/6V0A3jkb9ntudO0kmcJ1xd,184053,4
0.447,0.788,2,-4.994,0,0.0464,0.00257,1.68e-05,0.0744,0.505,80.04,audio_features,45HAjqRWiNv6mMPw4NvZrU,spotify:track:45HAjqRWiNv6mMPw4NvZrU,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,193714,4
0.417,0.706,6,-4.652,0,0.0945,0.00933,0.000572,0.474,0.512,127.884,audio_features,7yoBjKO6cCnK3zV8gr1k4e,spotify:track:7yoBjKO6cCnK3zV8gr1k4e,https://api.spotify.com/v1/tracks/7yoBjKO6cCnK3zV8gr1k4e,https://api.spotify.com/v1/audio-analysis/7yoBjKO6cCnK3zV8gr1k4e,242560,4
0.546,0.745,11,-7.172,0,0.0347,0.112,5.29e-05,0.225,0.272,91.982,audio_features,0EXEmQZrGIEP1eyZTLbBKF,spotify:track:0EXEmQZrGIEP1eyZTLbBKF,https://api.spotify.com/v1/tracks/0EXEmQZrGIEP1eyZTLbBKF,https://api.spotify.com/v1/audio-analysis/0EXEmQZrGIEP1eyZTLbBKF,183979,4
0.698,0.736,2,-5.525,1,0.0481,0.0664,2.16e-05,0.119,0.822,127.979,audio_features,4qHSciBVrNNpUlI8TT9CHQ,spotify:track:4qHSciBVrNNpUlI8TT9CHQ,https://api.spotify.com/v1/tracks/4qHSciBVrNNpUlI8TT9CHQ,https://api.spotify.com/v1/audio-analysis/4qHSciBVrNNpUlI8TT9CHQ,214267,4
0.381,0.838,6,-6.562,0,0.0709,0.0046,3.77e-05,0.101,0.581,118.214,audio_features,3T76zPJz3tWL27FrjJe2ot,spotify:track:3T76zPJz3tWL27FrjJe2ot,https://api.spotify.com/v1/tracks/3T76zPJz3tWL27FrjJe2ot,https://api.spotify.com/v1/audio-analysis/3T76zPJz3tWL27FrjJe2ot,219400,4
0.371,0.921,9,-5.533,1,0.0784,0.0113,2.7e-05,0.43,0.508,109.675,audio_features,6PtIXICwmoxCgLjw2zApDs,spotify:track:6PtIXICwmoxCgLjw2zApDs,https://api.spotify.com/v1/tracks/6PtIXICwmoxCgLjw2zApDs,https://api.spotify.com/v1/audio-analysis/6PtIXICwmoxCgLjw2zApDs,220538,4
0.451,0.532,5,-8.074,0,0.0415,0.0606,0.143,0.104,0.494,76.176,audio_features,14vst2Dkr7OkYyzf1fftLu,spotify:track:14vst2Dkr7OkYyzf1fftLu,https://api.spotify.com/v1/tracks/14vst2Dkr7OkYyzf1fftLu,https://api.spotify.com/v1/audio-analysis/14vst2Dkr7OkYyzf1fftLu,199597,4
0.608,0.6,11,-5.459,0,0.0266,0.018,0,0.273,0.553,87.465,audio_features,5jddjli3YTIxueb3xFdLaA,spotify:track:5jddjli3YTIxueb3xFdLaA,https://api.spotify.com/v1/tracks/5jddjli3YTIxueb3xFdLaA,https://api.spotify.com/v1/audio-analysis/5jddjli3YTIxueb3xFdLaA,152468,4
0.53,0.609,11,-6.407,0,0.0378,0.0404,2.09e-06,0.108,0.436,141.855,audio_features,579cIDb3DYSkR0AULxrAvW,spotify:track:579cIDb3DYSkR0AULxrAvW,https://api.spotify.com/v1/tracks/579cIDb3DYSkR0AULxrAvW,https://api.spotify.com/v1/audio-analysis/579cIDb3DYSkR0AULxrAvW,230699,4
0.532,0.768,4,-8.698,0,0.0551,0.8,2.01e-05,0.377,0.698,116.026,audio_features,5lJUXSjRjevVy7I3P87wuK,spotify:track:5lJUXSjRjevVy7I3P87wuK,https://api.spotify.com/v1/tracks/5lJUXSjRjevVy7I3P87wuK,https://api.spotify.com/v1/audio-analysis/5lJUXSjRjevVy7I3P87wuK,162587,4
0.504,0.717,2,-5.465,1,0.0747,0.0172,0,0.383,0.352,147.862,audio_features,5tJBIfrKncZvqyj6dBNwK0,spotify:track:5tJBIfrKncZvqyj6dBNwK0,https://api.spotify.com/v1/tracks/5tJBIfrKncZvqyj6dBNwK0,https://api.spotify.com/v1/audio-analysis/5tJBIfrKncZvqyj6dBNwK0,204634,4
