danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.435,0.726,10,-6.153,1,0.137,0.476,0,0.266,0.609,123.938,audio_features,02E0dSRldGrrrJyTY7O4uA,spotify:track:02E0dSRldGrrrJyTY7O4uA,https://api.spotify.com/v1/tracks/02E0dSRldGrrrJyTY7O4uA,https://api.spotify.com/v1/audio-analysis/02E0dSRldGrrrJyTY7O4uA,207581,4
0.676,0.723,1,-7.213,1,0.0292,0.077,0.00547,0.0865,0.624,117.977,audio_features,3ugmizSA071BoGL7jzd272,spotify:track:3ugmizSA071BoGL7jzd272,https://api.spotify.com/v1/tracks/3ugmizSA071BoGL7jzd272,https://api.spotify.com/v1/audio-analysis/3ugmizSA071BoGL7jzd272,203390,4
0.456,0.777,3,-5.97,1,0.055,0.197,0,0.112,0.285,102.968,audio_features,5Q17mAldONliLKiSKpikRv,spotify:track:5Q17mAldONliLKiSKpikRv,https://api.spotify.com/v1/tracks/5Q17mAldONliLKiSKpikRv,https://api.spotify.com/v1/audio-analysis/5Q17mAldONliLKiSKpikRv,195496,4
0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,audio_features,5Db9VIdDsN5yu3Eu7CT0i4,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,https://api.spotify.com/v1/tracks/5Db9VIdDsN5yu3Eu7CT0i4,https://api.spotify.com/v1/audio-analysis/5Db9VIdDsN5yu3Eu7CT0i4,172724,4
0.476,0.815,4,-5.073,1,0.0359,0.0028,0.00593,0.357,0.146,127.964,audio_features,54ZPmGE1uOG9IYoUBSRSp7,spotify:track:54ZPmGE1uOG9IYoUBSRSp7,https://api.spotify.com/v1/tracks/54ZPmGE1uOG9IYoUBSRSp7,https://api.spotify.com/v1/audio-analysis/54ZPmGE1uOG9IYoUBSRSp7,226867,4
0.468,0.201,4,-17.024,1,0.0388,0.915,8.28e-05,0.0952,0.383,94.422,audio_features,5OiaAaIMYlCZONyDBxqk4G,spotify:track:5OiaAaIMYlCZONyDBxqk4G,https://api.spotify.com/v1/tracks/5OiaAaIMYlCZONyDBxqk4G,https://api.spotify.com/v1/audio-analysis/5OiaAaIMYlCZONyDBxqk4G,188800,4
0.635,0.891,0,-3.913,1,0.0265,0.00531,8.57e-05,0.0743,0.484,105.0,audio_features,0QfYrtWTIrvl282F8KlKis,spotify:track:0QfYrtWTIrvl282F8KlKis,https://api.spotify.com/v1/tracks/0QfYrtWTIrvl282F8KlKis,https://api.spotify.com/v1/audio-analysis/0QfYrtWTIrvl282F8KlKis,228053,4
0.22,0.279,4,-11.179,1,0.0341,0.753,0,0.127,0.148,74.026,audio_features,1pfOZQDapYAnR5qbHZhsXm,spotify:track:1pfOZQDapYAnR5qbHZhsXm,https://api.spotify.com/v1/tracks/1pfOZQDapYAnR5qbHZhsXm,https://api.spotify.com/v1/audio-analysis/1pfOZQDapYAnR5qbHZhsXm,293947,3
0.583,0.845,7,-3.216,1,0.0329,0.000914,3.27e-06,0.0912,0.277,129.945,audio_features,4IOEF8A1XICdiQqGjsL7FC,spotify:track:4IOEF8A1XICdiQqGjsL7FC,https://api.spotify.com/v1/tracks/4IOEF8A1XICdiQqGjsL7FC,https://api.spotify.com/v1/audio-analysis/4IOEF8A1XICdiQqGjsL7FC,180315,4
0.424,0.765,0,-5.402,0,0.099,0.185,0,0.118,0.505,92.634,audio_features,72KReh9TpK9uZI7uyxTf2y,spotify:track:72KReh9TpK9uZI7uyxTf2y,https://api.spotify.com/v1/tracks/72KReh9TpK9uZI7uyxTf2y,https://api.spotify.com/v1/audio-analysis/72KReh9TpK9uZI7uyxTf2y,216533,4
0.515,0.675,6,-4.801,1,0.0358,0.0356,0,0.15,0.216,128.14,audio_features,5S2kAgrRjb0dwuGN6jB3YS,spotify:track:5S2kAgrRjb0dwuGN6jB3YS,https://api.spotify.com/v1/tracks/5S2kAgrRjb0dwuGN6jB3YS,https://api.spotify.com/v1/audio-analysis/5S2kAgrRjb0dwuGN6jB3YS,212813,4
0.696,0.798,8,-5.011,1,0.0345,0.0281,0.00119,0.118,0.388,124.023,audio_features,2MmmLzAFA2XmKB4hP843gh,spotify:track:2MmmLzAFA2XmKB4hP843gh,https://api.spotify.com/v1/tracks/2MmmLzAFA2XmKB4hP843gh,https://api.spotify.com/v1/audio-analysis/2MmmLzAFA2XmKB4hP843gh,159896,4
0.6,0.741,7,-5.913,1,0.0323,0.288,0.756,0.0842,0.301,128.01,audio_features,773VsaXBfxGYzEcoYkRDE7,spotify:track:773VsaXBfxGYzEcoYkRDE7,https://api.spotify.com/v1/tracks/773VsaXBfxGYzEcoYkRDE7,https://api.spotify.com/v1/audio-analysis/773VsaXBfxGYzEcoYkRDE7,244229,3
0.563,0.722,11,-4.81,0,0.0433,0.0176,0,0.274,0.0706,104.889,audio_features,1P2ZlB5qgJFirSoYqDlkkb,spotify:track:1P2ZlB5qgJFirSoYqDlkkb,https://api.spotify.com/v1/tracks/1P2ZlB5qgJFirSoYqDlkkb,https://api.spotify.com/v1/audio-analysis/1P2ZlB5qgJFirSoYqDlkkb,208430,4
