danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.279,0.252,8,-11.106,1,0.0292,0.841,0.708,0.109,0.0619,154.373,audio_features,1g2eirb8uaYn54iEYZl3CS,spotify:track:1g2eirb8uaYn54iEYZl3CS,https://api.spotify.com/v1/tracks/1g2eirb8uaYn54iEYZl3CS,https://api.spotify.com/v1/audio-analysis/1g2eirb8uaYn54iEYZl3CS,343249,3,59
0.492,0.841,0,-9.181,0,0.0904,0.729,0.00027,0.101,0.313,177.869,audio_features,4FwaJmXeZxr1096KItcUQq,spotify:track:4FwaJmXeZxr1096KItcUQq,https://api.spotify.com/v1/tracks/4FwaJmXeZxr1096KItcUQq,https://api.spotify.com/v1/audio-analysis/4FwaJmXeZxr1096KItcUQq,194907,4,72
0.679,0.321,11,-8.403,1,0.0396,0.913,0,0.711,0.362,117.622,audio_features,359lSGQwvAM3aZA5UNwqiQ,spotify:track:359lSGQwvAM3aZA5UNwqiQ,https://api.spotify.com/v1/tracks/359lSGQwvAM3aZA5UNwqiQ,https://api.spotify.com/v1/audio-analysis/359lSGQwvAM3aZA5UNwqiQ,236787,4,67
0.728,0.673,5,-5.766,1,0.0318,0.0964,6.94e-06,0.0695,0.489,127.995,audio_features,7MUNNBJKYo3cdokp06wEOB,spotify:track:7MUNNBJKYo3cdokp06wEOB,https://api.spotify.com/v1/tracks/7MUNNBJKYo3cdokp06wEOB,https://api.spotify.com/v1/audio-analysis/7MUNNBJKYo3cdokp06wEOB,214853,4,74
0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,audio_features,41yIvlFgvGwxq8qTqAR7eG,spotify:track:41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/tracks/41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/audio-analysis/41yIvlFgvGwxq8qTqAR7eG,210080,4,75
0.649,0.381,6,-12.625,1,0.0281,0.785,0.0648,0.112,0.263,129.003,audio_features,23Zlb66N7xcIWbpt2C1bsi,spotify:track:23Zlb66N7xcIWbpt2C1bsi,https://api.spotify.com/v1/tracks/23Zlb66N7xcIWbpt2C1bsi,https://api.spotify.com/v1/audio-analysis/23Zlb66N7xcIWbpt2C1bsi,199360,4,59
0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208227,3,77
0.478,0.531,0,-7.436,0,0.0393,0.325,4.77e-05,0.163,0.382,170.026,audio_features,7CeJuYHjC7wmtwMWBDKcvV,spotify:track:7CeJuYHjC7wmtwMWBDKcvV,https://api.spotify.com/v1/tracks/7CeJuYHjC7wmtwMWBDKcvV,https://api.spotify.com/v1/audio-analysis/7CeJuYHjC7wmtwMWBDKcvV,252293,4,56
0.479,0.177,10,-11.266,1,0.036,0.963,0,0.116,0.136,124.033,audio_features,3EJaUuGn4gtGa7u0vswTGv,spotify:track:3EJaUuGn4gtGa7u0vswTGv,https://api.spotify.com/v1/tracks/3EJaUuGn4gtGa7u0vswTGv,https://api.spotify.com/v1/audio-analysis/3EJaUuGn4gtGa7u0vswTGv,246094,3,66
0.352,0.414,4,-6.6,0,0.0254,0.391,0.00831,0.185,0.0688,60.042,audio_features,6qUcJCdjOi2OtSMBSvR3Vb,spotify:track:6qUcJCdjOi2OtSMBSvR3Vb,https://api.spotify.com/v1/tracks/6qUcJCdjOi2OtSMBSvR3Vb,https://api.spotify.com/v1/audio-analysis/6qUcJCdjOi2OtSMBSvR3Vb,341000,4,60
0.471,0.273,1,-10.072,1,0.0324,0.845,0,0.12,0.188,138.683,audio_features,2Sqv9Ne6ibOZsKxY7o0t6t,spotify:track:2Sqv9Ne6ibOZsKxY7o0t6t,https://api.spotify.com/v1/tracks/2Sqv9Ne6ibOZsKxY7o0t6t,https://api.spotify.com/v1/audio-analysis/2Sqv9Ne6ibOZsKxY7o0t6t,307173,4,69
0.658,0.179,8,-10.866,1,0.0448,0.689,0,0.17,0.191,128.128,audio_features,0NeJjNlprGfZpeX2LQuN6c,spotify:track:0NeJjNlprGfZpeX2LQuN6c,https://api.spotify.com/v1/tracks/0NeJjNlprGfZpeX2LQuN6c,https://api.spotify.com/v1/audio-analysis/0NeJjNlprGfZpeX2LQuN6c,238560,4,74
0.375,0.304,1,-14.52,1,0.0302,0.943,0.303,0.126,0.147,147.989,audio_features,4fbvXwMTXPWaFyaMWUm9CR,spotify:track:4fbvXwMTXPWaFyaMWUm9CR,https://api.spotify.com/v1/tracks/4fbvXwMTXPWaFyaMWUm9CR,https://api.spotify.com/v1/audio-analysis/4fbvXwMTXPWaFyaMWUm9CR,336613,4,71
0.383,0.547,5,-9.899,0,0.0376,0.771,0.00216,0.0913,0.282,91.899,audio_features,6L2KynUEZFPvNZZHD3AjtL,spotify:track:6L2KynUEZFPvNZZHD3AjtL,https://api.spotify.com/v1/tracks/6L2KynUEZFPvNZZHD3AjtL,https://api.spotify.com/v1/audio-analysis/6L2KynUEZFPvNZZHD3AjtL,273893,4,58
0.433,0.629,11,-7.859,0,0.0365,0.619,0.0012,0.11,0.222,138.857,audio_features,7nPISm9kJLgZVhkIozoLZS,spotify:track:7nPISm9kJLgZVhkIozoLZS,https://api.spotify.com/v1/tracks/7nPISm9kJLgZVhkIozoLZS,https://api.spotify.com/v1/audio-analysis/7nPISm9kJLgZVhkIozoLZS,208893,4,63
0.517,0.622,6,-9.135,0,0.0337,0.344,0.0699,0.498,0.51,96.964,audio_features,0szmjOw9XbtbQYWz0GvXSp,spotify:track:0szmjOw9XbtbQYWz0GvXSp,https://api.spotify.com/v1/tracks/0szmjOw9XbtbQYWz0GvXSp,https://api.spotify.com/v1/audio-analysis/0szmjOw9XbtbQYWz0GvXSp,244960,4,67
