danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.646,0.72,7,-7.063,1,0.206,0.000553,7.61e-06,0.0556,0.64,99.259,audio_features,3y4KY2HvTEkFLrkHfIPWAl,spotify:track:3y4KY2HvTEkFLrkHfIPWAl,https://api.spotify.com/v1/tracks/3y4KY2HvTEkFLrkHfIPWAl,https://api.spotify.com/v1/audio-analysis/3y4KY2HvTEkFLrkHfIPWAl,249107,4,58
0.778,0.824,10,-5.892,0,0.0712,0.284,0,0.405,0.756,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,81
0.875,0.631,1,-3.475,1,0.099,0.00542,2.54e-06,0.127,0.549,120.002,audio_features,24kGngQeXHt0uhffKpq0zj,spotify:track:24kGngQeXHt0uhffKpq0zj,https://api.spotify.com/v1/tracks/24kGngQeXHt0uhffKpq0zj,https://api.spotify.com/v1/audio-analysis/24kGngQeXHt0uhffKpq0zj,272080,4,69
0.853,0.676,6,-5.533,0,0.0715,0.0446,3.37e-05,0.0514,0.551,122.65,audio_features,0ByMNEPAPpOR5H69DVrTNy,spotify:track:0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/tracks/0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy,267080,4,65
0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,3E7dfMvvCLUddWissuqMwr,spotify:track:3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr,202067,4,74
0.835,0.687,5,-3.18,1,0.184,0.101,0,0.132,0.828,94.059,audio_features,0uqPG793dkDDN7sCUJJIVC,spotify:track:0uqPG793dkDDN7sCUJJIVC,https://api.spotify.com/v1/tracks/0uqPG793dkDDN7sCUJJIVC,https://api.spotify.com/v1/audio-analysis/0uqPG793dkDDN7sCUJJIVC,272533,4,74
0.646,0.696,1,-5.572,0,0.342,0.0192,0,0.0762,0.625,92.88,audio_features,5XJJdNPkwmbUwE79gv0NxK,spotify:track:5XJJdNPkwmbUwE79gv0NxK,https://api.spotify.com/v1/tracks/5XJJdNPkwmbUwE79gv0NxK,https://api.spotify.com/v1/audio-analysis/5XJJdNPkwmbUwE79gv0NxK,207401,4,73
0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,audio_features,2gOlrge3YTmYPwsCGgU62K,spotify:track:2gOlrge3YTmYPwsCGgU62K,https://api.spotify.com/v1/tracks/2gOlrge3YTmYPwsCGgU62K,https://api.spotify.com/v1/audio-analysis/2gOlrge3YTmYPwsCGgU62K,197124,4,20
0.895,0.795,2,-4.693,1,0.0977,0.0219,0,0.0403,0.574,105.004,audio_features,2PkeVPcL32LA96cK5ySC3c,spotify:track:2PkeVPcL32LA96cK5ySC3c,https://api.spotify.com/v1/tracks/2PkeVPcL32LA96cK5ySC3c,https://api.spotify.com/v1/audio-analysis/2PkeVPcL32LA96cK5ySC3c,250067,4,63
0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,audio_features,5WQ1hIc5d2EVbRQ8qsj8Uh,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/audio-analysis/5WQ1hIc5d2EVbRQ8qsj8Uh,235213,4,72
0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,audio_features,1oHClQEgDmmbcEx12Kc5nZ,spotify:track:1oHClQEgDmmbcEx12Kc5nZ,https://api.spotify.com/v1/tracks/1oHClQEgDmmbcEx12Kc5nZ,https://api.spotify.com/v1/audio-analysis/1oHClQEgDmmbcEx12Kc5nZ,189693,4,68
0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,audio_features,2Mpj1Ul5OFPyyP4wB62Rvi,spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,https://api.spotify.com/v1/tracks/2Mpj1Ul5OFPyyP4wB62Rvi,https://api.spotify.com/v1/audio-analysis/2Mpj1Ul5OFPyyP4wB62Rvi,254027,4,70
0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,audio_features,4JehYebiI9JE8sR8MisGVb,spotify:track:4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb,261640,4,78
0.849,0.619,0,-4.774,1,0.0695,0.0618,0,0.353,0.656,94.762,audio_features,0OaunKfsxkgBvPv68jBbmm,spotify:track:0OaunKfsxkgBvPv68jBbmm,https://api.spotify.com/v1/tracks/0OaunKfsxkgBvPv68jBbmm,https://api.spotify.com/v1/audio-analysis/0OaunKfsxkgBvPv68jBbmm,227547,4,69
0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117.0,audio_features,0O45fw2L5vsWpdsOdXwNAR,spotify:track:0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,242733,4,74
0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,audio_features,2CEgGE6aESpnmtfiZwYlbV,spotify:track:2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613,4,71
0.745,0.667,2,-6.781,0,0.121,0.0608,0,0.283,0.633,120.046,audio_features,6zQlRd6tvEVJm59P8PMj7o,spotify:track:6zQlRd6tvEVJm59P8PMj7o,https://api.spotify.com/v1/tracks/6zQlRd6tvEVJm59P8PMj7o,https://api.spotify.com/v1/audio-analysis/6zQlRd6tvEVJm59P8PMj7o,199733,4,57
0.755,0.832,11,-4.869,1,0.0462,0.317,1.9e-05,0.219,0.888,95.044,audio_features,4jUuqKRr1fB4c1RvU6syls,spotify:track:4jUuqKRr1fB4c1RvU6syls,https://api.spotify.com/v1/tracks/4jUuqKRr1fB4c1RvU6syls,https://api.spotify.com/v1/audio-analysis/4jUuqKRr1fB4c1RvU6syls,210853,4,64
