danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.393,0.612,11,-3.645,1,0.0305,0.00145,1.37e-06,0.121,0.225,175.073,audio_features,2b5OTshtoFvtctAsKJOwyw,spotify:track:2b5OTshtoFvtctAsKJOwyw,https://api.spotify.com/v1/tracks/2b5OTshtoFvtctAsKJOwyw,https://api.spotify.com/v1/audio-analysis/2b5OTshtoFvtctAsKJOwyw,267000,4,40
0.339,0.143,0,-10.78,1,0.0317,0.921,0.000636,0.372,0.0948,101.213,audio_features,74X1epeRufHckhuX1KFD04,spotify:track:74X1epeRufHckhuX1KFD04,https://api.spotify.com/v1/tracks/74X1epeRufHckhuX1KFD04,https://api.spotify.com/v1/audio-analysis/74X1epeRufHckhuX1KFD04,413320,3,70
0.485,0.738,1,-8.884,0,0.101,0.406,8.77e-05,0.514,0.484,114.713,audio_features,15VRO9CQwMpbqUYA7e6Hwg,spotify:track:15VRO9CQwMpbqUYA7e6Hwg,https://api.spotify.com/v1/tracks/15VRO9CQwMpbqUYA7e6Hwg,https://api.spotify.com/v1/audio-analysis/15VRO9CQwMpbqUYA7e6Hwg,260947,4,63
0.422,0.208,10,-15.886,1,0.0318,0.896,0.0265,0.192,0.354,111.546,audio_features,2dc1BYopTHgviDXawShfME,spotify:track:2dc1BYopTHgviDXawShfME,https://api.spotify.com/v1/tracks/2dc1BYopTHgviDXawShfME,https://api.spotify.com/v1/audio-analysis/2dc1BYopTHgviDXawShfME,190587,3,54
0.652,0.295,2,-11.045,1,0.0477,0.281,1.03e-05,0.0809,0.196,75.065,audio_features,19W5OTEcQI3ZoRW1HERMyy,spotify:track:19W5OTEcQI3ZoRW1HERMyy,https://api.spotify.com/v1/tracks/19W5OTEcQI3ZoRW1HERMyy,https://api.spotify.com/v1/audio-analysis/19W5OTEcQI3ZoRW1HERMyy,236827,4,69
0.545,0.376,9,-8.344,0,0.0288,0.713,0.000389,0.112,0.169,91.469,audio_features,5rpRzNcJZqKQXk9PIjreB6,spotify:track:5rpRzNcJZqKQXk9PIjreB6,https://api.spotify.com/v1/tracks/5rpRzNcJZqKQXk9PIjreB6,https://api.spotify.com/v1/audio-analysis/5rpRzNcJZqKQXk9PIjreB6,216533,4,64
0.329,0.226,7,-12.348,0,0.0322,0.836,0.00698,0.0867,0.247,157.045,audio_features,4siFdX3QLfjtzg1HHgCPW7,spotify:track:4siFdX3QLfjtzg1HHgCPW7,https://api.spotify.com/v1/tracks/4siFdX3QLfjtzg1HHgCPW7,https://api.spotify.com/v1/audio-analysis/4siFdX3QLfjtzg1HHgCPW7,248280,4,53
0.225,0.604,11,-7.73,0,0.0485,0.342,0.00153,0.163,0.163,159.98,audio_features,06sJNNMQV77SYLJQUcmGJ2,spotify:track:06sJNNMQV77SYLJQUcmGJ2,https://api.spotify.com/v1/tracks/06sJNNMQV77SYLJQUcmGJ2,https://api.spotify.com/v1/audio-analysis/06sJNNMQV77SYLJQUcmGJ2,229741,4,5
0.48,0.867,9,-6.24,0,0.12,0.0231,0.0169,0.555,0.593,151.074,audio_features,361ef8N2HYBcKgiU11kkfH,spotify:track:361ef8N2HYBcKgiU11kkfH,https://api.spotify.com/v1/tracks/361ef8N2HYBcKgiU11kkfH,https://api.spotify.com/v1/audio-analysis/361ef8N2HYBcKgiU11kkfH,152378,4,59
0.703,0.838,8,-5.882,1,0.0328,0.0106,0.000237,0.103,0.484,110.061,audio_features,0NRdZwAM8JSoStfYrb813s,spotify:track:0NRdZwAM8JSoStfYrb813s,https://api.spotify.com/v1/tracks/0NRdZwAM8JSoStfYrb813s,https://api.spotify.com/v1/audio-analysis/0NRdZwAM8JSoStfYrb813s,249853,4,42
