danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.268,0.156,7,-20.696,0,0.032,0.889,0.993,0.128,0.0564,63.795,audio_features,19ez4TX6bQxjAZsIAywNS1,spotify:track:19ez4TX6bQxjAZsIAywNS1,https://api.spotify.com/v1/tracks/19ez4TX6bQxjAZsIAywNS1,https://api.spotify.com/v1/audio-analysis/19ez4TX6bQxjAZsIAywNS1,144656,4,58
0.309,0.533,1,-11.506,0,0.0365,0.241,0.972,0.104,0.0299,128.019,audio_features,6hZ25GbRGcS5gFUdeEZ4Yl,spotify:track:6hZ25GbRGcS5gFUdeEZ4Yl,https://api.spotify.com/v1/tracks/6hZ25GbRGcS5gFUdeEZ4Yl,https://api.spotify.com/v1/audio-analysis/6hZ25GbRGcS5gFUdeEZ4Yl,320307,4,53
0.429,0.0541,10,-26.759,0,0.0411,0.995,0.928,0.114,0.0569,122.311,audio_features,0sDqqcELNvGWI5u8mBxESD,spotify:track:0sDqqcELNvGWI5u8mBxESD,https://api.spotify.com/v1/tracks/0sDqqcELNvGWI5u8mBxESD,https://api.spotify.com/v1/audio-analysis/0sDqqcELNvGWI5u8mBxESD,180774,1,67
0.661,0.374,3,-14.253,0,0.0489,0.858,0.878,0.126,0.0383,140.081,audio_features,5z9Ge9NXFie7y9OBhfC56R,spotify:track:5z9Ge9NXFie7y9OBhfC56R,https://api.spotify.com/v1/tracks/5z9Ge9NXFie7y9OBhfC56R,https://api.spotify.com/v1/audio-analysis/5z9Ge9NXFie7y9OBhfC56R,254694,4,57
0.274,0.185,11,-19.736,0,0.0362,0.974,0.928,0.105,0.072,113.893,audio_features,07QIkvSRo4ddFlmxniaZsi,spotify:track:07QIkvSRo4ddFlmxniaZsi,https://api.spotify.com/v1/tracks/07QIkvSRo4ddFlmxniaZsi,https://api.spotify.com/v1/audio-analysis/07QIkvSRo4ddFlmxniaZsi,191634,3,57
0.49,0.338,7,-13.913,1,0.0426,0.545,0.905,0.104,0.0368,119.933,audio_features,3iZaENWBwO9cRKrSVXyK3F,spotify:track:3iZaENWBwO9cRKrSVXyK3F,https://api.spotify.com/v1/tracks/3iZaENWBwO9cRKrSVXyK3F,https://api.spotify.com/v1/audio-analysis/3iZaENWBwO9cRKrSVXyK3F,275263,4,55
0.498,0.545,7,-7.917,0,0.0481,0.0216,0.808,0.0996,0.0383,177.984,audio_features,0mhcWPYviFvHzhrOuZiZQM,spotify:track:0mhcWPYviFvHzhrOuZiZQM,https://api.spotify.com/v1/tracks/0mhcWPYviFvHzhrOuZiZQM,https://api.spotify.com/v1/audio-analysis/0mhcWPYviFvHzhrOuZiZQM,248785,4,66
0.62,0.318,1,-15.88,1,0.0399,0.636,0.879,0.118,0.2,150.379,audio_features,0BSJ1iQEmGibLCPMHGtdo7,spotify:track:0BSJ1iQEmGibLCPMHGtdo7,https://api.spotify.com/v1/tracks/0BSJ1iQEmGibLCPMHGtdo7,https://api.spotify.com/v1/audio-analysis/0BSJ1iQEmGibLCPMHGtdo7,376733,4,59
0.312,0.129,9,-19.685,1,0.0315,0.967,0.822,0.102,0.28,189.861,audio_features,6znOHO2N68FhzQ9ShU2W1E,spotify:track:6znOHO2N68FhzQ9ShU2W1E,https://api.spotify.com/v1/tracks/6znOHO2N68FhzQ9ShU2W1E,https://api.spotify.com/v1/audio-analysis/6znOHO2N68FhzQ9ShU2W1E,222433,3,54
0.692,0.257,7,-18.929,0,0.0545,0.52,0.908,0.0645,0.226,171.936,audio_features,4nn0wv5QiDJ9iK5y32nfUS,spotify:track:4nn0wv5QiDJ9iK5y32nfUS,https://api.spotify.com/v1/tracks/4nn0wv5QiDJ9iK5y32nfUS,https://api.spotify.com/v1/audio-analysis/4nn0wv5QiDJ9iK5y32nfUS,350449,4,53
0.243,0.299,5,-13.986,1,0.0308,0.905,0.953,0.0798,0.0791,75.011,audio_features,6tLYPxKdgdZgoinFzjYuHB,spotify:track:6tLYPxKdgdZgoinFzjYuHB,https://api.spotify.com/v1/tracks/6tLYPxKdgdZgoinFzjYuHB,https://api.spotify.com/v1/audio-analysis/6tLYPxKdgdZgoinFzjYuHB,214903,3,12
0.665,0.601,6,-7.981,1,0.0294,0.0171,0.833,0.208,0.0999,105.002,audio_features,7eLNDNV7Y2Qrcrya9zKeTA,spotify:track:7eLNDNV7Y2Qrcrya9zKeTA,https://api.spotify.com/v1/tracks/7eLNDNV7Y2Qrcrya9zKeTA,https://api.spotify.com/v1/audio-analysis/7eLNDNV7Y2Qrcrya9zKeTA,392592,4,13
0.639,0.274,2,-16.048,0,0.0424,0.686,0.897,0.0897,0.0397,125.003,audio_features,78qM62MHvNxFJLpShqmq28,spotify:track:78qM62MHvNxFJLpShqmq28,https://api.spotify.com/v1/tracks/78qM62MHvNxFJLpShqmq28,https://api.spotify.com/v1/audio-analysis/78qM62MHvNxFJLpShqmq28,255209,4,57
0.347,0.246,0,-11.814,1,0.0398,0.984,0.919,0.0747,0.0301,159.969,audio_features,44nFlz3tVXesHRGuDvZfdD,spotify:track:44nFlz3tVXesHRGuDvZfdD,https://api.spotify.com/v1/tracks/44nFlz3tVXesHRGuDvZfdD,https://api.spotify.com/v1/audio-analysis/44nFlz3tVXesHRGuDvZfdD,251122,4,55
0.587,0.678,11,-5.357,0,0.0469,0.000117,0.223,0.0795,0.123,100.034,audio_features,6QBGMwu9ipwEfGT64dX8rY,spotify:track:6QBGMwu9ipwEfGT64dX8rY,https://api.spotify.com/v1/tracks/6QBGMwu9ipwEfGT64dX8rY,https://api.spotify.com/v1/audio-analysis/6QBGMwu9ipwEfGT64dX8rY,251414,4,52
0.499,0.182,2,-11.635,0,0.0289,0.829,0.00978,0.17,0.0663,96.916,audio_features,3A9oNjfByBBvBndWQSP71Z,spotify:track:3A9oNjfByBBvBndWQSP71Z,https://api.spotify.com/v1/tracks/3A9oNjfByBBvBndWQSP71Z,https://api.spotify.com/v1/audio-analysis/3A9oNjfByBBvBndWQSP71Z,195062,4,54
0.552,0.878,1,-5.767,1,0.0353,0.0585,0.892,0.0746,0.598,176.057,audio_features,0Mx2W2i58sIPmEvfKdh1Q2,spotify:track:0Mx2W2i58sIPmEvfKdh1Q2,https://api.spotify.com/v1/tracks/0Mx2W2i58sIPmEvfKdh1Q2,https://api.spotify.com/v1/audio-analysis/0Mx2W2i58sIPmEvfKdh1Q2,283636,4,54
0.436,0.277,1,-18.599,0,0.0518,0.97,0.88,0.108,0.0351,100.024,audio_features,0rIzxXL4cQzPBFtF2NsOSI,spotify:track:0rIzxXL4cQzPBFtF2NsOSI,https://api.spotify.com/v1/tracks/0rIzxXL4cQzPBFtF2NsOSI,https://api.spotify.com/v1/audio-analysis/0rIzxXL4cQzPBFtF2NsOSI,199227,4,53
0.663,0.799,8,-5.992,0,0.0352,0.0722,0.9,0.103,0.3,90.792,audio_features,6eq8qULTjug1ut9eig4seY,spotify:track:6eq8qULTjug1ut9eig4seY,https://api.spotify.com/v1/tracks/6eq8qULTjug1ut9eig4seY,https://api.spotify.com/v1/audio-analysis/6eq8qULTjug1ut9eig4seY,239417,4,13
0.0927,0.0772,10,-23.022,1,0.0448,0.937,0.937,0.0842,0.0384,71.756,audio_features,7GdB52BnIq7nL9syWYoMrk,spotify:track:7GdB52BnIq7nL9syWYoMrk,https://api.spotify.com/v1/tracks/7GdB52BnIq7nL9syWYoMrk,https://api.spotify.com/v1/audio-analysis/7GdB52BnIq7nL9syWYoMrk,185800,4,52
0.0964,0.46,4,-9.822,1,0.0352,0.78,0.814,0.0909,0.04,87.912,audio_features,0jVy0Y3QEtUKsrIHAZuR45,spotify:track:0jVy0Y3QEtUKsrIHAZuR45,https://api.spotify.com/v1/tracks/0jVy0Y3QEtUKsrIHAZuR45,https://api.spotify.com/v1/audio-analysis/0jVy0Y3QEtUKsrIHAZuR45,253147,1,60
0.585,0.527,11,-9.972,1,0.0443,0.718,0.715,0.0739,0.105,179.974,audio_features,4H25DIvtlGNNpebcxNqJZE,spotify:track:4H25DIvtlGNNpebcxNqJZE,https://api.spotify.com/v1/tracks/4H25DIvtlGNNpebcxNqJZE,https://api.spotify.com/v1/audio-analysis/4H25DIvtlGNNpebcxNqJZE,208000,4,55
0.21,0.624,4,-7.563,0,0.0317,0.896,0.75,0.204,0.0372,134.901,audio_features,34wbpKAPqKjOlPi3Ki30gr,spotify:track:34wbpKAPqKjOlPi3Ki30gr,https://api.spotify.com/v1/tracks/34wbpKAPqKjOlPi3Ki30gr,https://api.spotify.com/v1/audio-analysis/34wbpKAPqKjOlPi3Ki30gr,256000,4,49
0.22,0.369,3,-12.565,1,0.0504,0.0195,0.351,0.137,0.0369,159.974,audio_features,0PQPe8XwZp5St5zHsok56B,spotify:track:0PQPe8XwZp5St5zHsok56B,https://api.spotify.com/v1/tracks/0PQPe8XwZp5St5zHsok56B,https://api.spotify.com/v1/audio-analysis/0PQPe8XwZp5St5zHsok56B,159786,4,52
0.593,0.228,6,-15.824,0,0.0682,0.312,0.83,0.152,0.647,176.037,audio_features,5o6WCwKNByv0py1w1zuKw0,spotify:track:5o6WCwKNByv0py1w1zuKw0,https://api.spotify.com/v1/tracks/5o6WCwKNByv0py1w1zuKw0,https://api.spotify.com/v1/audio-analysis/5o6WCwKNByv0py1w1zuKw0,199877,4,18
0.236,0.471,6,-9.874,0,0.0295,0.0892,0.885,0.068,0.0357,93.01,audio_features,5TiJIieCsjUMFbQJiYUOwH,spotify:track:5TiJIieCsjUMFbQJiYUOwH,https://api.spotify.com/v1/tracks/5TiJIieCsjUMFbQJiYUOwH,https://api.spotify.com/v1/audio-analysis/5TiJIieCsjUMFbQJiYUOwH,426116,3,54
0.478,0.79,7,-7.656,0,0.0315,0.00541,0.789,0.327,0.0829,144.033,audio_features,52ixJlu7qBPKq1Xbmfdh1p,spotify:track:52ixJlu7qBPKq1Xbmfdh1p,https://api.spotify.com/v1/tracks/52ixJlu7qBPKq1Xbmfdh1p,https://api.spotify.com/v1/audio-analysis/52ixJlu7qBPKq1Xbmfdh1p,206667,4,51
