danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.592,0.867,8,-4.447,0,0.049,0.00658,0,0.0818,0.696,103.92,audio_features,1oDpnYvcjkgxNc9ytYmxQJ,spotify:track:1oDpnYvcjkgxNc9ytYmxQJ,https://api.spotify.com/v1/tracks/1oDpnYvcjkgxNc9ytYmxQJ,https://api.spotify.com/v1/audio-analysis/1oDpnYvcjkgxNc9ytYmxQJ,163053,4,51
0.637,0.689,7,-14.014,1,0.039,0.017,3.72e-05,0.0633,0.815,150.057,audio_features,3ey3YMZLdl1tQjbz7EJkKG,spotify:track:3ey3YMZLdl1tQjbz7EJkKG,https://api.spotify.com/v1/tracks/3ey3YMZLdl1tQjbz7EJkKG,https://api.spotify.com/v1/audio-analysis/3ey3YMZLdl1tQjbz7EJkKG,233407,4,39
0.604,0.423,2,-17.156,0,0.0374,0.000387,0.0328,0.0857,0.472,112.344,audio_features,6rvXznPVt21K7Adhw9zKEJ,spotify:track:6rvXznPVt21K7Adhw9zKEJ,https://api.spotify.com/v1/tracks/6rvXznPVt21K7Adhw9zKEJ,https://api.spotify.com/v1/audio-analysis/6rvXznPVt21K7Adhw9zKEJ,239359,4,52
0.901,0.981,3,-5.362,0,0.0936,0.349,0.145,0.111,0.628,114.585,audio_features,17I97bDgzf5GrFzpG8GV8H,spotify:track:17I97bDgzf5GrFzpG8GV8H,https://api.spotify.com/v1/tracks/17I97bDgzf5GrFzpG8GV8H,https://api.spotify.com/v1/audio-analysis/17I97bDgzf5GrFzpG8GV8H,301213,3,39
0.547,0.897,10,-10.283,0,0.135,0.089,0,0.361,0.255,120.035,audio_features,039IfPq41KEsEwv6WrY8ab,spotify:track:039IfPq41KEsEwv6WrY8ab,https://api.spotify.com/v1/tracks/039IfPq41KEsEwv6WrY8ab,https://api.spotify.com/v1/audio-analysis/039IfPq41KEsEwv6WrY8ab,247173,4,5
0.769,0.673,0,-9.761,1,0.0703,0.115,7.85e-05,0.458,0.878,131.254,audio_features,1MTZLNGlaw1308UlCv9QGJ,spotify:track:1MTZLNGlaw1308UlCv9QGJ,https://api.spotify.com/v1/tracks/1MTZLNGlaw1308UlCv9QGJ,https://api.spotify.com/v1/audio-analysis/1MTZLNGlaw1308UlCv9QGJ,225640,4,34
0.501,0.67,11,-7.683,0,0.0589,0.000509,0.869,0.0928,0.504,146.204,audio_features,7F6BEu2rLdtuo0Q9hfvPEj,spotify:track:7F6BEu2rLdtuo0Q9hfvPEj,https://api.spotify.com/v1/tracks/7F6BEu2rLdtuo0Q9hfvPEj,https://api.spotify.com/v1/audio-analysis/7F6BEu2rLdtuo0Q9hfvPEj,214936,4,20
0.504,0.801,11,-7.093,0,0.0574,0.000527,0.041,0.59,0.602,130.303,audio_features,2QS2qdVaLXOfokeTlJo5AV,spotify:track:2QS2qdVaLXOfokeTlJo5AV,https://api.spotify.com/v1/tracks/2QS2qdVaLXOfokeTlJo5AV,https://api.spotify.com/v1/audio-analysis/2QS2qdVaLXOfokeTlJo5AV,230333,4,27
0.637,0.851,9,-8.127,0,0.0437,0.216,0.0365,0.68,0.84,110.892,audio_features,2WDvW3o8WeGN4v4cpsYVhT,spotify:track:2WDvW3o8WeGN4v4cpsYVhT,https://api.spotify.com/v1/tracks/2WDvW3o8WeGN4v4cpsYVhT,https://api.spotify.com/v1/audio-analysis/2WDvW3o8WeGN4v4cpsYVhT,240960,4,49
0.766,0.877,3,-11.651,1,0.0718,0.37,0.452,0.102,0.919,129.933,audio_features,09QcX1GC5LylW50EaLBAT5,spotify:track:09QcX1GC5LylW50EaLBAT5,https://api.spotify.com/v1/tracks/09QcX1GC5LylW50EaLBAT5,https://api.spotify.com/v1/audio-analysis/09QcX1GC5LylW50EaLBAT5,324600,4,41
