danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.468,0.269,9,-13.305,0,0.0418,0.605,0.753,0.114,0.037,120.075,audio_features,3miw6HcMj7NL5yNv1tVrqZ,spotify:track:3miw6HcMj7NL5yNv1tVrqZ,https://api.spotify.com/v1/tracks/3miw6HcMj7NL5yNv1tVrqZ,https://api.spotify.com/v1/audio-analysis/3miw6HcMj7NL5yNv1tVrqZ,326110,4,38
0.849,0.483,6,-7.114,0,0.291,0.443,0.000141,0.0786,0.282,101.015,audio_features,36fRbuu9QkKVDR1j7jTI2U,spotify:track:36fRbuu9QkKVDR1j7jTI2U,https://api.spotify.com/v1/tracks/36fRbuu9QkKVDR1j7jTI2U,https://api.spotify.com/v1/audio-analysis/36fRbuu9QkKVDR1j7jTI2U,165618,4,72
0.777,0.823,0,-6.736,1,0.0677,0.00141,0.53,0.0784,0.466,108.981,audio_features,0ym3V9GpVPe5UrTLWEgqta,spotify:track:0ym3V9GpVPe5UrTLWEgqta,https://api.spotify.com/v1/tracks/0ym3V9GpVPe5UrTLWEgqta,https://api.spotify.com/v1/audio-analysis/0ym3V9GpVPe5UrTLWEgqta,251360,4,44
0.589,0.374,8,-9.409,0,0.0329,0.0534,0.408,0.0642,0.174,128.094,audio_features,2Vu6ajYTK5IzHiD0HWSw69,spotify:track:2Vu6ajYTK5IzHiD0HWSw69,https://api.spotify.com/v1/tracks/2Vu6ajYTK5IzHiD0HWSw69,https://api.spotify.com/v1/audio-analysis/2Vu6ajYTK5IzHiD0HWSw69,220788,4,46
0.566,0.394,10,-11.438,0,0.0445,0.712,2.59e-05,0.156,0.6,78.948,audio_features,0dTGNPDb5HHlfFoUGWveN3,spotify:track:0dTGNPDb5HHlfFoUGWveN3,https://api.spotify.com/v1/tracks/0dTGNPDb5HHlfFoUGWveN3,https://api.spotify.com/v1/audio-analysis/0dTGNPDb5HHlfFoUGWveN3,281054,4,45
0.473,0.225,1,-8.398,0,0.0359,0.249,0.0615,0.127,0.284,118.808,audio_features,4B6yOpxAwMRqyyypZYmkkX,spotify:track:4B6yOpxAwMRqyyypZYmkkX,https://api.spotify.com/v1/tracks/4B6yOpxAwMRqyyypZYmkkX,https://api.spotify.com/v1/audio-analysis/4B6yOpxAwMRqyyypZYmkkX,217273,4,33
0.706,0.72,0,-7.581,1,0.0246,0.000908,0.0765,0.0487,0.846,91.985,audio_features,7MNTf5d8T971NWUcqhgPlH,spotify:track:7MNTf5d8T971NWUcqhgPlH,https://api.spotify.com/v1/tracks/7MNTf5d8T971NWUcqhgPlH,https://api.spotify.com/v1/audio-analysis/7MNTf5d8T971NWUcqhgPlH,268858,4,48
0.619,0.617,11,-5.987,0,0.0886,0.643,9.82e-06,0.146,0.539,140.114,audio_features,6QIPCzFHJRdNrD8Q8WH3Rv,spotify:track:6QIPCzFHJRdNrD8Q8WH3Rv,https://api.spotify.com/v1/tracks/6QIPCzFHJRdNrD8Q8WH3Rv,https://api.spotify.com/v1/audio-analysis/6QIPCzFHJRdNrD8Q8WH3Rv,221613,4,50
0.456,0.446,8,-11.58,1,0.283,0.17,5.41e-05,0.338,0.15,95.97,audio_features,366JSUVvubtaIqQcddp3Py,spotify:track:366JSUVvubtaIqQcddp3Py,https://api.spotify.com/v1/tracks/366JSUVvubtaIqQcddp3Py,https://api.spotify.com/v1/audio-analysis/366JSUVvubtaIqQcddp3Py,148479,3,37
0.707,0.504,9,-6.955,0,0.0385,0.575,0.00116,0.297,0.126,120.031,audio_features,2r9QH2Bv3AxicocJq2vzRC,spotify:track:2r9QH2Bv3AxicocJq2vzRC,https://api.spotify.com/v1/tracks/2r9QH2Bv3AxicocJq2vzRC,https://api.spotify.com/v1/audio-analysis/2r9QH2Bv3AxicocJq2vzRC,266528,4,16
0.491,0.45,10,-9.123,0,0.0297,0.256,0.000505,0.0684,0.308,153.964,audio_features,2Vv1dwMyGrCX3QvB9MD6Bq,spotify:track:2Vv1dwMyGrCX3QvB9MD6Bq,https://api.spotify.com/v1/tracks/2Vv1dwMyGrCX3QvB9MD6Bq,https://api.spotify.com/v1/audio-analysis/2Vv1dwMyGrCX3QvB9MD6Bq,200992,4,44
0.479,0.469,6,-10.716,1,0.0303,0.145,0.73,0.109,0.0916,88.005,audio_features,3HIreX9KDUp25htC0efGcK,spotify:track:3HIreX9KDUp25htC0efGcK,https://api.spotify.com/v1/tracks/3HIreX9KDUp25htC0efGcK,https://api.spotify.com/v1/audio-analysis/3HIreX9KDUp25htC0efGcK,229982,4,37
