danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.568,0.585,3,-10.055,1,0.0282,0.0921,3.9e-06,0.241,0.562,102.105,audio_features,3eGvRSX0XawoZCjNtQXbsk,spotify:track:3eGvRSX0XawoZCjNtQXbsk,https://api.spotify.com/v1/tracks/3eGvRSX0XawoZCjNtQXbsk,https://api.spotify.com/v1/audio-analysis/3eGvRSX0XawoZCjNtQXbsk,181280,4,38
0.565,0.136,11,-12.179,1,0.0299,0.943,1.68e-06,0.0952,0.349,83.013,audio_features,1d4QAtlNQCnMARsacnkoyC,spotify:track:1d4QAtlNQCnMARsacnkoyC,https://api.spotify.com/v1/tracks/1d4QAtlNQCnMARsacnkoyC,https://api.spotify.com/v1/audio-analysis/1d4QAtlNQCnMARsacnkoyC,175120,4,55
0.719,0.325,0,-12.222,1,0.0355,0.847,0,0.125,0.286,130.534,audio_features,4j1qgmRVqhFANilbZ70bft,spotify:track:4j1qgmRVqhFANilbZ70bft,https://api.spotify.com/v1/tracks/4j1qgmRVqhFANilbZ70bft,https://api.spotify.com/v1/audio-analysis/4j1qgmRVqhFANilbZ70bft,182211,4,22
0.399,0.467,5,-10.296,1,0.0314,0.869,0.151,0.109,0.311,115.965,audio_features,2ZO1Y1Bbot1jrdPApAyCV2,spotify:track:2ZO1Y1Bbot1jrdPApAyCV2,https://api.spotify.com/v1/tracks/2ZO1Y1Bbot1jrdPApAyCV2,https://api.spotify.com/v1/audio-analysis/2ZO1Y1Bbot1jrdPApAyCV2,280613,4,33
0.527,0.15,0,-10.357,1,0.0302,0.876,0,0.125,0.269,93.048,audio_features,1uGwCbelG6h8hdcCPFSN1Z,spotify:track:1uGwCbelG6h8hdcCPFSN1Z,https://api.spotify.com/v1/tracks/1uGwCbelG6h8hdcCPFSN1Z,https://api.spotify.com/v1/audio-analysis/1uGwCbelG6h8hdcCPFSN1Z,226968,4,46
0.342,0.3,2,-10.49,1,0.0327,0.565,0.00166,0.182,0.133,120.568,audio_features,7L5BQEm6e6MQr3CimiFicS,spotify:track:7L5BQEm6e6MQr3CimiFicS,https://api.spotify.com/v1/tracks/7L5BQEm6e6MQr3CimiFicS,https://api.spotify.com/v1/audio-analysis/7L5BQEm6e6MQr3CimiFicS,186619,4,8
0.575,0.48,9,-7.751,1,0.031,0.564,2.33e-05,0.113,0.271,96.026,audio_features,477cRuV7IrfIdAqsz8l38H,spotify:track:477cRuV7IrfIdAqsz8l38H,https://api.spotify.com/v1/tracks/477cRuV7IrfIdAqsz8l38H,https://api.spotify.com/v1/audio-analysis/477cRuV7IrfIdAqsz8l38H,243027,4,26
0.443,0.533,7,-5.956,1,0.0473,0.429,3.66e-06,0.332,0.596,183.791,audio_features,0efT4YKQLQx2YHbp6vgRX8,spotify:track:0efT4YKQLQx2YHbp6vgRX8,https://api.spotify.com/v1/tracks/0efT4YKQLQx2YHbp6vgRX8,https://api.spotify.com/v1/audio-analysis/0efT4YKQLQx2YHbp6vgRX8,222813,4,68
0.67,0.609,7,-10.088,1,0.0333,0.749,6.74e-05,0.227,0.573,127.463,audio_features,4BDpHt1JrVQzaU7E6RBbXh,spotify:track:4BDpHt1JrVQzaU7E6RBbXh,https://api.spotify.com/v1/tracks/4BDpHt1JrVQzaU7E6RBbXh,https://api.spotify.com/v1/audio-analysis/4BDpHt1JrVQzaU7E6RBbXh,109736,4,8
0.412,0.252,9,-8.664,1,0.0386,0.616,0.000626,0.106,0.187,113.967,audio_features,3NoD3W2dltcoGrCtfbmUeE,spotify:track:3NoD3W2dltcoGrCtfbmUeE,https://api.spotify.com/v1/tracks/3NoD3W2dltcoGrCtfbmUeE,https://api.spotify.com/v1/audio-analysis/3NoD3W2dltcoGrCtfbmUeE,240266,4,19
