danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.739,0.315,2,-10.738,1,0.0363,0.251,0.000524,0.102,0.403,103.069,audio_features,7mXjTkZ79hpL0p1ofHlcio,spotify:track:7mXjTkZ79hpL0p1ofHlcio,https://api.spotify.com/v1/tracks/7mXjTkZ79hpL0p1ofHlcio,https://api.spotify.com/v1/audio-analysis/7mXjTkZ79hpL0p1ofHlcio,254467,4,18
0.651,0.384,0,-8.789,1,0.0359,0.681,0.000485,0.165,0.586,168.131,audio_features,64eovkdGR7xoIIyUjok9AQ,spotify:track:64eovkdGR7xoIIyUjok9AQ,https://api.spotify.com/v1/tracks/64eovkdGR7xoIIyUjok9AQ,https://api.spotify.com/v1/audio-analysis/64eovkdGR7xoIIyUjok9AQ,282520,4,18
0.689,0.648,7,-5.675,1,0.0301,0.00825,0.000337,0.124,0.813,136.037,audio_features,7Djy0BtQllz2LrHEac2Uat,spotify:track:7Djy0BtQllz2LrHEac2Uat,https://api.spotify.com/v1/tracks/7Djy0BtQllz2LrHEac2Uat,https://api.spotify.com/v1/audio-analysis/7Djy0BtQllz2LrHEac2Uat,230720,4,13
0.779,0.714,7,-7.183,1,0.0312,0.191,6.21e-05,0.0528,0.924,135.966,audio_features,7EhI5HG2Gc7Iaz5VadI40A,spotify:track:7EhI5HG2Gc7Iaz5VadI40A,https://api.spotify.com/v1/tracks/7EhI5HG2Gc7Iaz5VadI40A,https://api.spotify.com/v1/audio-analysis/7EhI5HG2Gc7Iaz5VadI40A,233547,4,12
0.699,0.891,4,-5.212,1,0.0835,0.185,0.00269,0.116,0.862,170.037,audio_features,2Y7xnkrBRhWeE0VeTONma6,spotify:track:2Y7xnkrBRhWeE0VeTONma6,https://api.spotify.com/v1/tracks/2Y7xnkrBRhWeE0VeTONma6,https://api.spotify.com/v1/audio-analysis/2Y7xnkrBRhWeE0VeTONma6,321133,4,13
0.516,0.373,11,-10.728,1,0.0418,0.358,0,0.0943,0.62,167.101,audio_features,6KkAZbkMWdyYSFkUwISr7s,spotify:track:6KkAZbkMWdyYSFkUwISr7s,https://api.spotify.com/v1/tracks/6KkAZbkMWdyYSFkUwISr7s,https://api.spotify.com/v1/audio-analysis/6KkAZbkMWdyYSFkUwISr7s,196360,4,11
0.587,0.177,0,-13.962,1,0.0375,0.695,0.000376,0.131,0.324,106.575,audio_features,4KM4KZ0LSxiJqQZyNPVtDO,spotify:track:4KM4KZ0LSxiJqQZyNPVtDO,https://api.spotify.com/v1/tracks/4KM4KZ0LSxiJqQZyNPVtDO,https://api.spotify.com/v1/audio-analysis/4KM4KZ0LSxiJqQZyNPVtDO,223387,4,11
0.719,0.409,0,-10.577,1,0.0365,0.0734,4.72e-05,0.269,0.767,124.427,audio_features,1oUc5Y78ufk1x0YeAYxndq,spotify:track:1oUc5Y78ufk1x0YeAYxndq,https://api.spotify.com/v1/tracks/1oUc5Y78ufk1x0YeAYxndq,https://api.spotify.com/v1/audio-analysis/1oUc5Y78ufk1x0YeAYxndq,167480,4,10
0.45,0.338,2,-9.102,1,0.0339,0.565,2.38e-05,0.0985,0.242,97.357,audio_features,23ohIOKmAxMpi1PIOhnmpf,spotify:track:23ohIOKmAxMpi1PIOhnmpf,https://api.spotify.com/v1/tracks/23ohIOKmAxMpi1PIOhnmpf,https://api.spotify.com/v1/audio-analysis/23ohIOKmAxMpi1PIOhnmpf,208133,4,11
0.763,0.489,2,-8.22,1,0.0327,0.293,8.41e-05,0.625,0.793,114.971,audio_features,4Y133ezyBBgiOAcaFgUosD,spotify:track:4Y133ezyBBgiOAcaFgUosD,https://api.spotify.com/v1/tracks/4Y133ezyBBgiOAcaFgUosD,https://api.spotify.com/v1/audio-analysis/4Y133ezyBBgiOAcaFgUosD,280773,4,10
