danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.484,0.266,0,-17.623,1,0.113,0.982,0.013,0.222,0.4,98.607,audio_features,5p4BRlcUzvRpApjjEFAtUq,spotify:track:5p4BRlcUzvRpApjjEFAtUq,https://api.spotify.com/v1/tracks/5p4BRlcUzvRpApjjEFAtUq,https://api.spotify.com/v1/audio-analysis/5p4BRlcUzvRpApjjEFAtUq,300107,3,37
0.13,0.119,4,-20.19,1,0.0453,0.928,0.0235,0.162,0.0399,89.042,audio_features,4fBqGaGJfEqTQDX4d7Hcil,spotify:track:4fBqGaGJfEqTQDX4d7Hcil,https://api.spotify.com/v1/tracks/4fBqGaGJfEqTQDX4d7Hcil,https://api.spotify.com/v1/audio-analysis/4fBqGaGJfEqTQDX4d7Hcil,203760,1,36
0.334,0.0231,5,-29.73,0,0.0495,0.973,3.33e-05,0.151,0.0386,112.984,audio_features,1unYGFnMRJ21U23uHtp1px,spotify:track:1unYGFnMRJ21U23uHtp1px,https://api.spotify.com/v1/tracks/1unYGFnMRJ21U23uHtp1px,https://api.spotify.com/v1/audio-analysis/1unYGFnMRJ21U23uHtp1px,167467,4,34
0.0925,0.103,10,-24.231,1,0.0435,0.922,0.342,0.17,0.0579,82.612,audio_features,47xZ59XjNaGgnmWy2X1WUL,spotify:track:47xZ59XjNaGgnmWy2X1WUL,https://api.spotify.com/v1/tracks/47xZ59XjNaGgnmWy2X1WUL,https://api.spotify.com/v1/audio-analysis/47xZ59XjNaGgnmWy2X1WUL,328160,1,32
0.242,0.356,2,-13.189,1,0.046,0.971,0.0306,0.161,0.152,89.205,audio_features,2JKNdozl7hsO6sf9k5xMvK,spotify:track:2JKNdozl7hsO6sf9k5xMvK,https://api.spotify.com/v1/tracks/2JKNdozl7hsO6sf9k5xMvK,https://api.spotify.com/v1/audio-analysis/2JKNdozl7hsO6sf9k5xMvK,402040,4,31
0.424,0.214,10,-17.688,1,0.0763,0.962,2.9e-05,0.681,0.282,113.211,audio_features,3jQa7pofP3CHRTt4Xnoyt6,spotify:track:3jQa7pofP3CHRTt4Xnoyt6,https://api.spotify.com/v1/tracks/3jQa7pofP3CHRTt4Xnoyt6,https://api.spotify.com/v1/audio-analysis/3jQa7pofP3CHRTt4Xnoyt6,175507,4,48
0.275,0.0433,5,-24.994,1,0.052,0.982,3.34e-06,0.148,0.0396,168.477,audio_features,4dE0YDyMRnZg6Xr4TpqWj1,spotify:track:4dE0YDyMRnZg6Xr4TpqWj1,https://api.spotify.com/v1/tracks/4dE0YDyMRnZg6Xr4TpqWj1,https://api.spotify.com/v1/audio-analysis/4dE0YDyMRnZg6Xr4TpqWj1,535227,3,32
0.206,0.0907,5,-20.521,1,0.0499,0.992,0.273,0.0935,0.0371,174.2,audio_features,48qAOahd28j6zuPAWSLZ4K,spotify:track:48qAOahd28j6zuPAWSLZ4K,https://api.spotify.com/v1/tracks/48qAOahd28j6zuPAWSLZ4K,https://api.spotify.com/v1/audio-analysis/48qAOahd28j6zuPAWSLZ4K,390253,3,37
0.311,0.258,7,-15.086,1,0.0723,0.954,0.00103,0.0793,0.185,78.022,audio_features,6T8AyIuEyCAaxmLXd8bajv,spotify:track:6T8AyIuEyCAaxmLXd8bajv,https://api.spotify.com/v1/tracks/6T8AyIuEyCAaxmLXd8bajv,https://api.spotify.com/v1/audio-analysis/6T8AyIuEyCAaxmLXd8bajv,215747,5,20
0.245,0.0675,1,-19.141,1,0.0473,0.975,0.000222,0.107,0.0506,61.73,audio_features,5E7gz5CbmUBNerBQg19ULz,spotify:track:5E7gz5CbmUBNerBQg19ULz,https://api.spotify.com/v1/tracks/5E7gz5CbmUBNerBQg19ULz,https://api.spotify.com/v1/audio-analysis/5E7gz5CbmUBNerBQg19ULz,273067,3,36
0.219,0.0337,4,-22.761,1,0.0537,0.985,0.00542,0.0857,0.0417,76.1,audio_features,2Sbb5o2R6zci4L0xEQhsvK,spotify:track:2Sbb5o2R6zci4L0xEQhsvK,https://api.spotify.com/v1/tracks/2Sbb5o2R6zci4L0xEQhsvK,https://api.spotify.com/v1/audio-analysis/2Sbb5o2R6zci4L0xEQhsvK,332320,5,40
0.268,0.296,4,-17.576,0,0.0418,0.961,0.104,0.652,0.162,91.062,audio_features,14bfGXGq1tbZc6f6WnqLAD,spotify:track:14bfGXGq1tbZc6f6WnqLAD,https://api.spotify.com/v1/tracks/14bfGXGq1tbZc6f6WnqLAD,https://api.spotify.com/v1/audio-analysis/14bfGXGq1tbZc6f6WnqLAD,519587,3,31
0.187,0.0874,4,-23.492,1,0.0413,0.988,0.791,0.0989,0.0582,124.29,audio_features,320k8OKicwdkzqwjPfHPyF,spotify:track:320k8OKicwdkzqwjPfHPyF,https://api.spotify.com/v1/tracks/320k8OKicwdkzqwjPfHPyF,https://api.spotify.com/v1/audio-analysis/320k8OKicwdkzqwjPfHPyF,184000,3,30
0.25,0.0706,5,-20.368,0,0.0445,0.948,0.872,0.579,0.0527,131.145,audio_features,5L9bEvb3CdE9LQWe5hAhD2,spotify:track:5L9bEvb3CdE9LQWe5hAhD2,https://api.spotify.com/v1/tracks/5L9bEvb3CdE9LQWe5hAhD2,https://api.spotify.com/v1/audio-analysis/5L9bEvb3CdE9LQWe5hAhD2,514253,4,30
0.105,0.101,2,-25.323,1,0.0455,0.918,0.000316,0.147,0.0998,69.869,audio_features,6pDSf6GQH4LbBWT1mQIUN1,spotify:track:6pDSf6GQH4LbBWT1mQIUN1,https://api.spotify.com/v1/tracks/6pDSf6GQH4LbBWT1mQIUN1,https://api.spotify.com/v1/audio-analysis/6pDSf6GQH4LbBWT1mQIUN1,228600,3,30
0.24,0.0613,5,-19.515,0,0.048,0.979,6.61e-06,0.331,0.0941,174.405,audio_features,16YfaD63RVPaKesYdFEZVn,spotify:track:16YfaD63RVPaKesYdFEZVn,https://api.spotify.com/v1/tracks/16YfaD63RVPaKesYdFEZVn,https://api.spotify.com/v1/audio-analysis/16YfaD63RVPaKesYdFEZVn,398750,5,32
0.24,0.14,11,-19.212,1,0.0419,0.933,0.00876,0.117,0.0304,65.525,audio_features,3ZzTDUe3NLWYNgfIMsFuzL,spotify:track:3ZzTDUe3NLWYNgfIMsFuzL,https://api.spotify.com/v1/tracks/3ZzTDUe3NLWYNgfIMsFuzL,https://api.spotify.com/v1/audio-analysis/3ZzTDUe3NLWYNgfIMsFuzL,401587,4,30
0.421,0.26,0,-17.909,1,0.0354,0.865,0.0303,0.0919,0.479,103.026,audio_features,79bTPqLKtFMo01nbx1d7eU,spotify:track:79bTPqLKtFMo01nbx1d7eU,https://api.spotify.com/v1/tracks/79bTPqLKtFMo01nbx1d7eU,https://api.spotify.com/v1/audio-analysis/79bTPqLKtFMo01nbx1d7eU,280080,4,28
0.364,0.0592,2,-21.757,1,0.057,0.978,0,0.0823,0.185,123.789,audio_features,3pzBD8BVdrv7VJ7glRYshl,spotify:track:3pzBD8BVdrv7VJ7glRYshl,https://api.spotify.com/v1/tracks/3pzBD8BVdrv7VJ7glRYshl,https://api.spotify.com/v1/audio-analysis/3pzBD8BVdrv7VJ7glRYshl,275467,4,36
0.296,0.0627,7,-20.764,1,0.0994,0.973,3.12e-05,0.757,0.067,175.841,audio_features,3VC3fi0Iz3cV1dtsDLwoII,spotify:track:3VC3fi0Iz3cV1dtsDLwoII,https://api.spotify.com/v1/tracks/3VC3fi0Iz3cV1dtsDLwoII,https://api.spotify.com/v1/audio-analysis/3VC3fi0Iz3cV1dtsDLwoII,189760,4,27
0.186,0.0378,1,-27.122,1,0.0461,0.863,9.36e-06,0.324,0.0325,90.371,audio_features,2VxItoS2Zw3hytTbVkle85,spotify:track:2VxItoS2Zw3hytTbVkle85,https://api.spotify.com/v1/tracks/2VxItoS2Zw3hytTbVkle85,https://api.spotify.com/v1/audio-analysis/2VxItoS2Zw3hytTbVkle85,185933,4,25
0.211,0.19,11,-15.225,1,0.057,0.965,0.000353,0.636,0.0375,77.402,audio_features,4D7a9OjZ7WjCenCyoYTd6o,spotify:track:4D7a9OjZ7WjCenCyoYTd6o,https://api.spotify.com/v1/tracks/4D7a9OjZ7WjCenCyoYTd6o,https://api.spotify.com/v1/audio-analysis/4D7a9OjZ7WjCenCyoYTd6o,227893,4,22
0.301,0.102,8,-19.334,1,0.0538,0.989,0.00599,0.063,0.0521,78.544,audio_features,3rczjlfY4MKNVMIadbegbb,spotify:track:3rczjlfY4MKNVMIadbegbb,https://api.spotify.com/v1/tracks/3rczjlfY4MKNVMIadbegbb,https://api.spotify.com/v1/audio-analysis/3rczjlfY4MKNVMIadbegbb,228800,3,27
