danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.737,0.616,7,-7.314,1,0.312,0.354,0,0.307,0.88,100.459,audio_features,4DmjHCRymTq4eCUkWAUGZs,spotify:track:4DmjHCRymTq4eCUkWAUGZs,https://api.spotify.com/v1/tracks/4DmjHCRymTq4eCUkWAUGZs,https://api.spotify.com/v1/audio-analysis/4DmjHCRymTq4eCUkWAUGZs,200550,4,14
0.533,0.362,5,-10.409,0,0.0321,0.639,5.59e-05,0.0855,0.0739,65.035,audio_features,3XrAY4qMWGW8KHjPusT6d0,spotify:track:3XrAY4qMWGW8KHjPusT6d0,https://api.spotify.com/v1/tracks/3XrAY4qMWGW8KHjPusT6d0,https://api.spotify.com/v1/audio-analysis/3XrAY4qMWGW8KHjPusT6d0,180120,4,46
0.517,0.664,8,-6.95,1,0.0435,0.137,0.0688,0.162,0.236,159.949,audio_features,3hGue2aulR4wFnkdaYI4I9,spotify:track:3hGue2aulR4wFnkdaYI4I9,https://api.spotify.com/v1/tracks/3hGue2aulR4wFnkdaYI4I9,https://api.spotify.com/v1/audio-analysis/3hGue2aulR4wFnkdaYI4I9,225240,4,42
0.599,0.533,3,-6.828,0,0.0311,0.0693,3.26e-06,0.0616,0.262,75.373,audio_features,3tW6NhWt9RgFpZxJBWYA3U,spotify:track:3tW6NhWt9RgFpZxJBWYA3U,https://api.spotify.com/v1/tracks/3tW6NhWt9RgFpZxJBWYA3U,https://api.spotify.com/v1/audio-analysis/3tW6NhWt9RgFpZxJBWYA3U,262521,4,53
0.566,0.425,1,-10.437,0,0.135,0.407,0.00012,0.128,0.0619,143.941,audio_features,691p9DlCLT22sQSKFhPHBB,spotify:track:691p9DlCLT22sQSKFhPHBB,https://api.spotify.com/v1/tracks/691p9DlCLT22sQSKFhPHBB,https://api.spotify.com/v1/audio-analysis/691p9DlCLT22sQSKFhPHBB,240173,4,31
0.657,0.438,9,-8.587,1,0.0483,0.0101,0.934,0.112,0.688,82.075,audio_features,2juAtFrhusbIAUWrYwPsfk,spotify:track:2juAtFrhusbIAUWrYwPsfk,https://api.spotify.com/v1/tracks/2juAtFrhusbIAUWrYwPsfk,https://api.spotify.com/v1/audio-analysis/2juAtFrhusbIAUWrYwPsfk,133347,4,6
0.441,0.424,5,-7.218,1,0.0366,0.77,3.92e-06,0.104,0.502,120.744,audio_features,4zTHYH48021nSS4boLgVUG,spotify:track:4zTHYH48021nSS4boLgVUG,https://api.spotify.com/v1/tracks/4zTHYH48021nSS4boLgVUG,https://api.spotify.com/v1/audio-analysis/4zTHYH48021nSS4boLgVUG,251211,5,53
0.522,0.4,11,-9.55,0,0.0411,0.675,0.0119,0.134,0.223,139.803,audio_features,0KSbSL7pzXNN1z3jsVoLqQ,spotify:track:0KSbSL7pzXNN1z3jsVoLqQ,https://api.spotify.com/v1/tracks/0KSbSL7pzXNN1z3jsVoLqQ,https://api.spotify.com/v1/audio-analysis/0KSbSL7pzXNN1z3jsVoLqQ,205417,4,25
0.418,0.794,11,-4.973,1,0.0816,0.08,0,0.329,0.178,129.434,audio_features,5PnBpKOVvQxeFvXVNYSoxs,spotify:track:5PnBpKOVvQxeFvXVNYSoxs,https://api.spotify.com/v1/tracks/5PnBpKOVvQxeFvXVNYSoxs,https://api.spotify.com/v1/audio-analysis/5PnBpKOVvQxeFvXVNYSoxs,241846,4,64
0.531,0.728,6,-4.985,0,0.063,0.0416,7.19e-06,0.135,0.418,104.978,audio_features,4eQ8RVou7nLwXpSQcya6bl,spotify:track:4eQ8RVou7nLwXpSQcya6bl,https://api.spotify.com/v1/tracks/4eQ8RVou7nLwXpSQcya6bl,https://api.spotify.com/v1/audio-analysis/4eQ8RVou7nLwXpSQcya6bl,244959,4,49
